OBJECTID,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,CVA_NAME,Shape_Length,Shape_Area
65,18010102,1801010205,180101020503,160357,0,,,OCEAN,Big Lagoon-Frontal Pacific Ocean,NM,F,OCEAN,Luffenholtz Creek-Frontal Pacific Ocean,NM,F,CA08,CA,,180582.5596,161693435
300,18010106,1801010604,180101060402,16624,0,,,1801010510,Lower South Fork Eel River,NM,S,180101060403,Redwood Creek,NM,S,CA01,CA,,39916.60137,67274450.85
2010,18010104,1801010403,180101040303,14722,0,,,1801010405,Mill Creek,NM,S,180101040304,Grist Creek,NM,S,CA01,CA,,43343.42747,59577237.93
2013,18010104,1801010401,180101040105,29738,0,,,1801010405,Black Butte River,NM,S,180101040502,Jumpoff Creek-Black Butte River,NM,S,CA01,CA,,48486.99427,120345816.3
2019,18010106,1801010603,180101060301,26714,0,,,1801010604,Middle South Fork Eel River,NM,S,180101060302,Hollow Tree Creek,NM,S,CA08,CA,,55219.85975,108109370.5
2020,18010104,1801010405,180101040502,18063,0,,,1801010502,Lower Middle Fork Eel River,NM,S,180101040504,Silver Creek-Middle Fork Eel River,NM,S,CA01,CA,,46185.81141,73098916.27
2022,18010106,1801010603,180101060303,17359,0,,,1801010604,Middle South Fork Eel River,NM,S,180101060305,Indian Creek,NM,S,CA08,CA,,49032.15622,70249528.97
2025,18010105,1801010501,180101050109,24227,0,,,1801010504,North Fork Eel River,NM,S,180101050403,Lower North Fork Eel River,NM,S,CA01,CA,,56689.57131,98042061.64
2026,18010106,1801010602,180101060201,23055,0,,,1801010603,East Branch South Fork Eel River,NM,S,180101060202,Upper East Branch South Fork Eel River,NM,S,CA07,CA,,53165.57604,93300391.07
2041,18010102,1801010205,180101020501,29633,0,,,OCEAN,Big Lagoon-Frontal Pacific Ocean,NM,F,180101020503,Maple Creek,NM,S,CA08,CA,,51882.99104,119920187.4
2189,18010106,1801010603,180101060302,22837,0,,,1801010604,Middle South Fork Eel River,NM,S,180101060304,Red Mountain Creek-South Fork Eel River,NM,S,CA08,CA,,45396.56924,92419191.65
2190,18010105,1801010502,180101050206,21091,0,,,1801010504,Woodman Creek-Eel River,NM,S,180101050403,Big Bend Creek-Eel River,NM,S,CA01,CA,,50742.2914,85352600.75
2192,18010105,1801010502,180101050205,12756,0,,,1801010504,Woodman Creek-Eel River,NM,S,180101050206,Bell Springs Creek,NM,S,CA01,CA,,32169.29126,51623818.72
2198,18010106,1801010603,180101060304,18983,0,,,1801010604,Middle South Fork Eel River,NM,S,180101060305,Standley Creek-South Fork Eel River,NM,S,CA08,CA,,43652.84989,76819946.07
2636,18010105,1801010501,180101050101,10145,0,,,1801010504,North Fork Eel River,NM,S,180101050105,Kettenpom Creek,NM,S,CA01,CA,,32121.75358,41053914.08
2640,18010106,1801010604,180101060403,33875,0,,,1801010510,Lower South Fork Eel River,NM,S,180101060405,Ohman Creek-South Fork Eel River,NM,S,CA01,CA,,62683.3843,137086166.5
2641,18010105,1801010504,180101050405,25179,0,,,1801010505,Chamise Creek-Eel River,NM,S,180101050406,Pipe Creek-Eel River,NM,S,CA01,CA,,61113.35867,101896324.6
2752,18010102,1801010201,180101020105,25425,0,,,1801010205,Redwood Creek,NM,S,180101020106,Prairie Creek,TF,S,CA08,CA,,62584.56295,102891145.6
2911,18010106,1801010601,180101060105,26009,0,,,1801010603,Upper South Fork Eel River,NM,S,180101060302,Cedar Creek-South Fork Eel River,NM,S,CA01,CA,,64901.80614,105253342.1
2912,18010104,1801010402,180101040208,15329,0,,,1801010405,Upper Middle Fork Eel River,NM,S,180101040502,Bar Creek-Middle Fork Eel River,NM,S,CA01,CA,,38726.19935,62033240.28
2915,18010105,1801010502,180101050204,15629,0,,,1801010504,Woodman Creek-Eel River,NM,S,180101050206,Blue Rock Creek,NM,S,CA01,CA,,38701.77741,63249282.72
2916,18010104,1801010403,180101040302,21229,0,,,1801010405,Mill Creek,NM,S,180101040304,Alder Creek-Mill Creek,NM,S,CA01,CA,,55295.88968,85912347.79
2924,18010102,1801010204,180101020403,32191,0,,,1801010205,Lower Mad River,NM,S,180101020406,Blue Slide Creek-Mad River,NM,S,CA08,CA,,64628.22466,130274165.8
2927,18010102,1801010204,180101020402,12201,0,,,1801010205,Lower Mad River,NM,S,180101020406,Boulder Creek,NM,S,CA08,CA,,39285.88443,49376609.16
2929,18010102,1801010206,180101020603,35833,0,,,OCEAN,Humboldt Bay-Frontal Pacific Ocean,NM,F,180101020605,Elk River,NM,S,CA08,CA,,75748.29727,145012522.9
2933,18010102,1801010201,180101020101,38593,0,,,1801010205,Redwood Creek,NM,S,180101020102,Noisy Creek-Redwood Creek,NM,S,CA08,CA,,71102.94102,156179285.9
2939,18010102,1801010204,180101020408,19799,0,,,1801010205,Lower Mad River,NM,S,180101020503,Mill Creek-Mad River,LE,S,CA08,CA,,60734.10155,80122037.29
3028,18010103,1801010301,180101030101,17651,0,,,1801010302,Rice Fork,NM,S,180101030102,French Creek-Rice Fork,NM,S,CA01,CA,,48466.86013,71433287.35
3039,18010105,1801010504,180101050406,18699,0,,,1801010505,Chamise Creek-Eel River,NM,S,180101050501,Steelhead Creek-Eel River,NM,S,CA01,CA,,38524.49551,75673550.9
