"STAIDT","obs_median","preds_median","medOE","FFM"
"T10255800",112,169.875,0.659308314937454,"DS_Dur_WS"
"T10255810",153,168,0.910714285714286,"DS_Dur_WS"
"T10257600",103,149,0.691275167785235,"DS_Dur_WS"
"T10258000",168.5,145.0625,1.16156828953037,"DS_Dur_WS"
"T10258500",140,175.9,0.795906765207504,"DS_Dur_WS"
"T10259000",104.5,149.720833333334,0.697965658308518,"DS_Dur_WS"
"T10259200",175,137.45,1.27319025100036,"DS_Dur_WS"
"T10263500",146,160.7,0.908525202240199,"DS_Dur_WS"
"T10264000",180,176,1.02272727272727,"DS_Dur_WS"
"T10281800",202.5,200.5625,1.00966033032097,"DS_Dur_WS"
"T10291500",209,206.5,1.01210653753027,"DS_Dur_WS"
"T10295500",218,203,1.07389162561576,"DS_Dur_WS"
"T10308200",205,203.5,1.00737100737101,"DS_Dur_WS"
"T10310000",209,205.266666666667,1.01818772328678,"DS_Dur_WS"
"T10336580",221,212,1.04245283018868,"DS_Dur_WS"
"T10336600",203,200.625,1.01183800623053,"DS_Dur_WS"
"T10336645",240,215,1.11627906976744,"DS_Dur_WS"
"T10336660",215,213,1.0093896713615,"DS_Dur_WS"
"T10336676",214,211,1.01421800947867,"DS_Dur_WS"
"T10336780",189.5,219,0.865296803652968,"DS_Dur_WS"
"T10343500",210.5,208.466666666666,1.00975375759514,"DS_Dur_WS"
"T10360900",202,198.1,1.01968702675416,"DS_Dur_WS"
"T11033000",202,178.45,1.13196973942281,"DS_Dur_WS"
"T11046300",229.5,187,1.22727272727273,"DS_Dur_WS"
"T11058600",131.5,185.1,0.71042679632631,"DS_Dur_WS"
"T11063000",187,180,1.03888888888889,"DS_Dur_WS"
"T11073470",140,154.875,0.903954802259887,"DS_Dur_WS"
"T11080500",162,138.916666666667,1.16616676664667,"DS_Dur_WS"
"T11082000",177,145.6125,1.21555498326037,"DS_Dur_WS"
"T11084500",177,173.1,1.02253032928943,"DS_Dur_WS"
"T11094000",185,173.333333333333,1.06730769230769,"DS_Dur_WS"
"T11095500",184,183,1.00546448087432,"DS_Dur_WS"
"T11098000",177.5,184.75,0.960757780784844,"DS_Dur_WS"
"T11110500",226,208,1.08653846153846,"DS_Dur_WS"
"T11111500",200.5,205.525,0.975550419656976,"DS_Dur_WS"
"T11113000",220,190,1.15789473684211,"DS_Dur_WS"
"T11115500",159,204.55,0.777316059643119,"DS_Dur_WS"
"T11116000",190.5,193.316666666666,0.985429778429176,"DS_Dur_WS"
"T11117600",218.5,228.083333333333,0.95798319327731,"DS_Dur_WS"
"T11117800",229,208.645833333333,1.09755366949576,"DS_Dur_WS"
"T11120500",183.5,214.3,0.856276248250117,"DS_Dur_WS"
"T11124500",205.5,203.183333333334,1.01140185382659,"DS_Dur_WS"
"T11132500",222,177.8,1.24859392575928,"DS_Dur_WS"
"T11138500",210.5,210,1.00238095238095,"DS_Dur_WS"
"T11141150",143.5,210,0.683333333333333,"DS_Dur_WS"
"T11141280",194.5,191.5,1.01566579634465,"DS_Dur_WS"
"T11143000",175.5,176.6125,0.9937008988605,"DS_Dur_WS"
"T11143500",197.5,200.195833333333,0.986534018773284,"DS_Dur_WS"
"T11148900",217,198.979166666667,1.09056643283426,"DS_Dur_WS"
"T11151300",230,210,1.0952380952381,"DS_Dur_WS"
"T11151870",178.5,176.383333333333,1.01200037796466,"DS_Dur_WS"
"T11153900",193,201,0.960199004975124,"DS_Dur_WS"
"T11154100",216,183.95,1.17423212829573,"DS_Dur_WS"
"T11160000",183,186.708333333333,0.980138361972776,"DS_Dur_WS"
"T11160020",181,191.5,0.945169712793734,"DS_Dur_WS"
"T11160300",183,194,0.943298969072165,"DS_Dur_WS"
"T11160500",186,184.633333333333,1.00740205813324,"DS_Dur_WS"
"T11162500",193,183.275,1.05306233801664,"DS_Dur_WS"
"T11162570",201,190.416666666667,1.05557986870897,"DS_Dur_WS"
"T11169800",230.5,225.05,1.02421684070207,"DS_Dur_WS"
"T11172100",208,222,0.936936936936937,"DS_Dur_WS"
"T11173200",220,222.75,0.987654320987654,"DS_Dur_WS"
"T11176400",229.5,225.05,1.01977338369251,"DS_Dur_WS"
"T11180500",232,206,1.12621359223301,"DS_Dur_WS"
"T11180960",220,199.4,1.10330992978937,"DS_Dur_WS"
"T11182100",211,207.45,1.01711255724271,"DS_Dur_WS"
"T11182500",198,215.666666666667,0.91808346213292,"DS_Dur_WS"
"T11196400",159,167.433333333334,0.949631694206648,"DS_Dur_WS"
"T11199500",169,159.166666666667,1.06178010471204,"DS_Dur_WS"
"T11209900",158,160,0.9875,"DS_Dur_WS"
"T11213500",183,196,0.933673469387755,"DS_Dur_WS"
"T11214000",213,203,1.04926108374384,"DS_Dur_WS"
"T11218500",187,196,0.954081632653061,"DS_Dur_WS"
"T11220000",167.5,161.1875,1.03916246607212,"DS_Dur_WS"
"T11220500",206,184.575,1.11607747528105,"DS_Dur_WS"
"T11224500",207,215.5,0.960556844547564,"DS_Dur_WS"
"T11226500",191.5,200.5,0.955112219451372,"DS_Dur_WS"
"T11230500",206,188.775,1.09124619255728,"DS_Dur_WS"
"T11237500",229,193.5,1.18346253229974,"DS_Dur_WS"
"T11253310",183.5,212.916666666667,0.861839530332682,"DS_Dur_WS"
"T11257500",135,157.5,0.857142857142857,"DS_Dur_WS"
"T11258000",123,167.1,0.736086175942549,"DS_Dur_WS"
"T11259000",192,154,1.24675324675325,"DS_Dur_WS"
"T11264500",200,200,1,"DS_Dur_WS"
"T11266500",196,204.55,0.958200928868247,"DS_Dur_WS"
"T11268000",166,150.708333333333,1.10146530273708,"DS_Dur_WS"
"T11274630",219,226,0.969026548672566,"DS_Dur_WS"
"T11275000",207.5,199.0375,1.04251711360924,"DS_Dur_WS"
"T11281000",163,158.9,1.02580239144116,"DS_Dur_WS"
"T11282000",210.5,157.966666666666,1.33255961173243,"DS_Dur_WS"
"T11283500",159,152.45,1.04296490652673,"DS_Dur_WS"
"T11284400",221.5,173.5,1.27665706051873,"DS_Dur_WS"
"T11292500",206,197.541666666667,1.04281797089222,"DS_Dur_WS"
"T11294000",194,201.5,0.962779156327543,"DS_Dur_WS"
"T11294500",203,197,1.03045685279188,"DS_Dur_WS"
"T11299600",235,208.95,1.12467097391721,"DS_Dur_WS"
"T11315000",206,206,1,"DS_Dur_WS"
"T11316800",158,168,0.94047619047619,"DS_Dur_WS"
"T11318500",154.5,163.75,0.943511450381679,"DS_Dur_WS"
"T11334300",167,171.875,0.971636363636364,"DS_Dur_WS"
"T11341400",144,139.35,1.03336921420883,"DS_Dur_WS"
"T11371000",165,167.225,0.986694573179848,"DS_Dur_WS"
"T11374000",156,167.366666666667,0.932085241983667,"DS_Dur_WS"
"T11375700",169.5,161.5,1.04953560371517,"DS_Dur_WS"
"T11379000",149.5,154.55,0.967324490456163,"DS_Dur_WS"
"T11390672",245,223.5,1.09619686800895,"DS_Dur_WS"
"T11394500",132,144.633333333333,0.912652684950451,"DS_Dur_WS"
"T11396400",147,168.275,0.873570049026891,"DS_Dur_WS"
"T11406999",115,149.8,0.767690253671562,"DS_Dur_WS"
"T11409300",180,156.8,1.14795918367347,"DS_Dur_WS"
"T11414000",187,198.8,0.940643863179074,"DS_Dur_WS"
"T11427700",180,166.1,1.08368452739314,"DS_Dur_WS"
"T11433260",151,158.5,0.952681388012618,"DS_Dur_WS"
"T11449500",184,193.9,0.948942753996906,"DS_Dur_WS"
"T11451100",195.5,182.5,1.07123287671233,"DS_Dur_WS"
"T11464500",196.5,190.975,1.02893048828381,"DS_Dur_WS"
"T11467500",194,185,1.04864864864865,"DS_Dur_WS"
"T11467600",178,192.2,0.926118626430801,"DS_Dur_WS"
"T11468000",194.5,186.7,1.04177825388324,"DS_Dur_WS"
"T11468500",188,185.775,1.0119768537209,"DS_Dur_WS"
"T11472900",160.5,160,1.003125,"DS_Dur_WS"
"T11473900",161.5,162.833333333333,0.991811668372568,"DS_Dur_WS"
"T11474500",182.5,167,1.09281437125748,"DS_Dur_WS"
"T11475500",173,176.3875,0.980795124371058,"DS_Dur_WS"
"T11475560",173.5,173.3875,1.00064883570038,"DS_Dur_WS"
"T11475800",184,178.2,1.03254769921437,"DS_Dur_WS"
"T11476500",186,176.75,1.05233380480905,"DS_Dur_WS"
"T11476600",174,178.1,0.976979225154408,"DS_Dur_WS"
"T11477000",166,162.366666666667,1.02237733524943,"DS_Dur_WS"
"T11478500",167,164.166666666667,1.01725888324873,"DS_Dur_WS"
"T11480390",172,170,1.01176470588235,"DS_Dur_WS"
"T11481200",150,165.4,0.90689238210399,"DS_Dur_WS"
"T11481500",146.5,158.15,0.926335757192539,"DS_Dur_WS"
"T11482500",151.5,153.2,0.988903394255875,"DS_Dur_WS"
"T11522500",116,137.3,0.844865258557902,"DS_Dur_WS"
"T11523200",159,145.25,1.09466437177281,"DS_Dur_WS"
"T11526500",116.5,126.645833333333,0.919888139496627,"DS_Dur_WS"
"T11528700",162,155.333333333333,1.04291845493562,"DS_Dur_WS"
"T11532500",128,148.3,0.863115306810519,"DS_Dur_WS"
