"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"DS_Dur_WS","T10255800",23,30.4347826086957,43.4782608695652,0,1,0,1,0,0
"DS_Dur_WS","T10255810",43,74.4186046511628,88.3720930232558,1,0,0,1,0,0
"DS_Dur_WS","T10257600",23,43.4782608695652,73.9130434782609,0,1,0,1,0,0
"DS_Dur_WS","T10258000",58,53.448275862069,75.8620689655172,1,0,0,1,0,0
"DS_Dur_WS","T10258500",23,30.4347826086957,69.5652173913043,1,0,0,1,0,0
"DS_Dur_WS","T10259000",54,40.7407407407407,79.6296296296296,0,1,0,1,0,0
"DS_Dur_WS","T10259200",29,41.3793103448276,72.4137931034483,1,0,0,1,0,0
"DS_Dur_WS","T10263500",57,56.140350877193,77.1929824561403,1,0,0,1,0,0
"DS_Dur_WS","T10264000",29,58.6206896551724,89.6551724137931,1,0,0,1,0,0
"DS_Dur_WS","T10281800",24,87.5,100,1,0,0,1,0,0
"DS_Dur_WS","T10291500",41,60.9756097560976,80.4878048780488,1,0,0,1,0,0
"DS_Dur_WS","T10295500",47,55.3191489361702,85.1063829787234,1,0,0,1,0,0
"DS_Dur_WS","T10308200",55,60,78.1818181818182,1,0,0,1,0,0
"DS_Dur_WS","T10310000",65,41.5384615384615,73.8461538461539,1,0,0,1,0,0
"DS_Dur_WS","T10336580",21,52.3809523809524,76.1904761904762,1,0,0,1,0,0
"DS_Dur_WS","T10336600",26,50,76.9230769230769,1,0,0,1,0,0
"DS_Dur_WS","T10336645",35,20,57.1428571428571,1,0,0,1,0,0
"DS_Dur_WS","T10336660",55,41.8181818181818,63.6363636363636,1,0,0,1,0,0
"DS_Dur_WS","T10336676",43,44.1860465116279,67.4418604651163,1,0,0,1,0,0
"DS_Dur_WS","T10336780",48,37.5,62.5,0,1,0,1,0,0
"DS_Dur_WS","T10343500",62,30.6451612903226,59.6774193548387,1,0,0,1,0,0
"DS_Dur_WS","T10360900",22,68.1818181818182,90.9090909090909,1,0,0,1,0,0
"DS_Dur_WS","T11033000",27,77.7777777777778,85.1851851851852,0,0,1,1,0,0
"DS_Dur_WS","T11046300",30,46.6666666666667,76.6666666666667,0,0,1,0,0,1
"DS_Dur_WS","T11058600",36,27.7777777777778,63.8888888888889,0,1,0,0,1,0
"DS_Dur_WS","T11063000",25,28,68,1,0,0,1,0,0
"DS_Dur_WS","T11073470",23,56.5217391304348,82.6086956521739,1,0,0,1,0,0
"DS_Dur_WS","T11080500",28,57.1428571428571,82.1428571428571,1,0,0,1,0,0
"DS_Dur_WS","T11082000",22,27.2727272727273,68.1818181818182,1,0,0,1,0,0
"DS_Dur_WS","T11084500",29,68.9655172413793,79.3103448275862,1,0,0,1,0,0
"DS_Dur_WS","T11094000",21,38.0952380952381,71.4285714285714,1,0,0,1,0,0
"DS_Dur_WS","T11095500",21,33.3333333333333,52.3809523809524,1,0,0,1,0,0
"DS_Dur_WS","T11098000",64,57.8125,82.8125,1,0,0,1,0,0
"DS_Dur_WS","T11110500",31,58.0645161290323,83.8709677419355,1,0,0,1,0,0
"DS_Dur_WS","T11111500",58,50,79.3103448275862,1,0,0,1,0,0
"DS_Dur_WS","T11113000",31,51.6129032258064,80.6451612903226,1,0,0,1,0,0
"DS_Dur_WS","T11115500",29,10.3448275862069,44.8275862068966,0,1,0,1,0,0
"DS_Dur_WS","T11116000",32,43.75,59.375,1,0,0,1,0,0
"DS_Dur_WS","T11117600",28,35.7142857142857,67.8571428571429,1,0,0,1,0,0
"DS_Dur_WS","T11117800",20,45,70,1,0,0,1,0,0
"DS_Dur_WS","T11120500",60,35,68.3333333333333,1,0,0,1,0,0
"DS_Dur_WS","T11124500",62,64.5161290322581,87.0967741935484,1,0,0,1,0,0
"DS_Dur_WS","T11132500",38,42.1052631578947,71.0526315789474,1,0,0,1,0,0
"DS_Dur_WS","T11138500",54,48.1481481481481,74.0740740740741,1,0,0,1,0,0
"DS_Dur_WS","T11141150",22,13.6363636363636,54.5454545454545,0,1,0,1,0,0
"DS_Dur_WS","T11141280",44,45.4545454545455,81.8181818181818,1,0,0,1,0,0
"DS_Dur_WS","T11143000",64,54.6875,79.6875,1,0,0,1,0,0
"DS_Dur_WS","T11143500",32,37.5,56.25,1,0,0,1,0,0
"DS_Dur_WS","T11148900",44,59.0909090909091,88.6363636363636,0,0,1,1,0,0
"DS_Dur_WS","T11151300",53,32.0754716981132,67.9245283018868,1,0,0,1,0,0
"DS_Dur_WS","T11151870",30,56.6666666666667,86.6666666666667,1,0,0,1,0,0
"DS_Dur_WS","T11153900",21,42.8571428571429,80.9523809523809,1,0,0,1,0,0
"DS_Dur_WS","T11154100",22,40.9090909090909,90.9090909090909,1,0,0,1,0,0
"DS_Dur_WS","T11160000",63,31.7460317460317,69.8412698412698,1,0,0,1,0,0
"DS_Dur_WS","T11160020",22,40.9090909090909,72.7272727272727,1,0,0,1,0,0
"DS_Dur_WS","T11160300",33,21.2121212121212,33.3333333333333,1,0,0,1,0,0
"DS_Dur_WS","T11160500",65,49.2307692307692,76.9230769230769,1,0,0,1,0,0
"DS_Dur_WS","T11162500",64,39.0625,67.1875,1,0,0,1,0,0
"DS_Dur_WS","T11162570",35,42.8571428571429,68.5714285714286,1,0,0,1,0,0
"DS_Dur_WS","T11169800",32,40.625,71.875,1,0,0,1,0,0
"DS_Dur_WS","T11172100",25,48,56,1,0,0,1,0,0
"DS_Dur_WS","T11173200",33,27.2727272727273,63.6363636363636,1,0,0,1,0,0
"DS_Dur_WS","T11176400",50,44,76,1,0,0,1,0,0
"DS_Dur_WS","T11180500",29,44.8275862068966,79.3103448275862,0,0,1,1,0,0
"DS_Dur_WS","T11180960",37,45.945945945946,72.972972972973,1,0,0,1,0,0
"DS_Dur_WS","T11182100",27,55.5555555555556,77.7777777777778,1,0,0,1,0,0
"DS_Dur_WS","T11182500",59,40.6779661016949,61.0169491525424,1,0,0,1,0,0
"DS_Dur_WS","T11196400",20,45,80,1,0,0,1,0,0
"DS_Dur_WS","T11199500",36,72.2222222222222,94.4444444444444,1,0,0,1,0,0
"DS_Dur_WS","T11209900",31,64.5161290322581,87.0967741935484,1,0,0,1,0,0
"DS_Dur_WS","T11213500",31,45.1612903225806,74.1935483870968,1,0,0,1,0,0
"DS_Dur_WS","T11214000",25,40,84,1,0,0,1,0,0
"DS_Dur_WS","T11218500",29,51.7241379310345,82.7586206896552,1,0,0,1,0,0
"DS_Dur_WS","T11220000",20,45,95,1,0,0,1,0,0
