"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"DS_Mag_90","T10255800",23,47.8260869565217,95.6521739130435,0,0,1,0,0,1
"DS_Mag_90","T10255810",43,23.2558139534884,37.2093023255814,1,0,0,1,0,0
"DS_Mag_90","T10257600",23,60.8695652173913,73.9130434782609,0,1,0,1,0,0
"DS_Mag_90","T10258000",58,25.8620689655172,43.1034482758621,0,1,0,1,0,0
"DS_Mag_90","T10258500",23,43.4782608695652,43.4782608695652,1,0,0,1,0,0
"DS_Mag_90","T10259000",54,55.5555555555556,77.7777777777778,0,0,1,0,0,1
"DS_Mag_90","T10259200",29,48.2758620689655,96.551724137931,0,1,0,1,0,0
"DS_Mag_90","T10263500",57,45.6140350877193,73.6842105263158,1,0,0,1,0,0
"DS_Mag_90","T10264000",29,62.0689655172414,82.7586206896552,1,0,0,1,0,0
"DS_Mag_90","T10281800",24,70.8333333333333,100,0,1,0,0,1,0
"DS_Mag_90","T10291500",41,68.2926829268293,95.1219512195122,1,0,0,1,0,0
"DS_Mag_90","T10295500",47,51.063829787234,91.4893617021277,0,1,0,1,0,0
"DS_Mag_90","T10308200",55,45.4545454545455,74.5454545454545,1,0,0,1,0,0
"DS_Mag_90","T10310000",65,46.1538461538462,84.6153846153846,1,0,0,1,0,0
"DS_Mag_90","T10336580",21,42.8571428571429,61.9047619047619,1,0,0,1,0,0
"DS_Mag_90","T10336600",26,42.3076923076923,69.2307692307692,1,0,0,1,0,0
"DS_Mag_90","T10336645",35,54.2857142857143,80,1,0,0,1,0,0
"DS_Mag_90","T10336660",55,36.3636363636364,65.4545454545455,1,0,0,1,0,0
"DS_Mag_90","T10336676",43,32.5581395348837,60.4651162790698,1,0,0,1,0,0
"DS_Mag_90","T10336780",48,54.1666666666667,91.6666666666667,1,0,0,1,0,0
"DS_Mag_90","T10343500",62,40.3225806451613,70.9677419354839,0,1,0,1,0,0
"DS_Mag_90","T10360900",22,68.1818181818182,86.3636363636364,1,0,0,1,0,0
"DS_Mag_90","T11033000",27,22.2222222222222,66.6666666666667,1,0,0,1,0,0
"DS_Mag_90","T11046300",30,33.3333333333333,83.3333333333333,1,0,0,1,0,0
"DS_Mag_90","T11058600",36,55.5555555555556,80.5555555555556,1,0,0,1,0,0
"DS_Mag_90","T11063000",25,84,88,1,0,0,1,0,0
"DS_Mag_90","T11073470",23,60.8695652173913,86.9565217391304,1,0,0,1,0,0
"DS_Mag_90","T11080500",28,39.2857142857143,71.4285714285714,1,0,0,1,0,0
"DS_Mag_90","T11082000",22,36.3636363636364,72.7272727272727,1,0,0,1,0,0
"DS_Mag_90","T11084500",29,44.8275862068966,68.9655172413793,1,0,0,1,0,0
