"STAIDT","obs_median","preds_median","medOE","FFM"
"T10255800",317.5,285.275,1.11296117781088,"DS_Tim"
"T10255810",267.5,276.645833333333,0.966940281647714,"DS_Tim"
"T10257600",318.5,290,1.09827586206897,"DS_Tim"
"T10258000",295.5,316,0.935126582278481,"DS_Tim"
"T10258500",307,279,1.10035842293907,"DS_Tim"
"T10259000",313,289.5,1.08117443868739,"DS_Tim"
"T10259200",295.5,298.775,0.989038574177893,"DS_Tim"
"T10263500",313,296,1.05743243243243,"DS_Tim"
"T10264000",273,299,0.91304347826087,"DS_Tim"
"T10264600",325.5,285.929166666667,1.13839383297145,"DS_Tim"
"T10281800",363,325,1.11692307692308,"DS_Tim"
"T10291500",338,329.25,1.02657555049355,"DS_Tim"
"T10295500",331,322,1.02795031055901,"DS_Tim"
"T10308200",312,319,0.978056426332288,"DS_Tim"
"T10310000",311,317.25,0.980299448384555,"DS_Tim"
"T10336580",311,312.2,0.996156310057655,"DS_Tim"
"T10336600",318,318.370833333334,0.998835215746836,"DS_Tim"
"T10336645",281,295.4,0.951252538930264,"DS_Tim"
"T10336660",306,303,1.00990099009901,"DS_Tim"
"T10336676",304,305.291666666667,0.995769073290568,"DS_Tim"
"T10336770",319,321.95,0.990837086504116,"DS_Tim"
"T10336780",332,308.708333333333,1.07544877851262,"DS_Tim"
"T10343500",300.5,307.8875,0.976005846291259,"DS_Tim"
"T10360900",316,298,1.06040268456376,"DS_Tim"
"T11033000",254,271.1125,0.936880446309189,"DS_Tim"
"T11046300",233.5,253.633333333333,0.92062031804442,"DS_Tim"
"T11058600",301,260.5,1.15547024952015,"DS_Tim"
"T11063000",268,277,0.967509025270758,"DS_Tim"
"T11073470",295,299,0.986622073578595,"DS_Tim"
"T11080500",299,304.4,0.982260183968463,"DS_Tim"
"T11082000",282,297.395833333333,0.948231173380035,"DS_Tim"
"T11084500",280,265,1.05660377358491,"DS_Tim"
"T11094000",268,286.333333333333,0.935972060535508,"DS_Tim"
"T11095500",278,267,1.04119850187266,"DS_Tim"
