"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"DS_Tim","T10255800",30,43.3333333333333,80,0,0,1,1,0,0
"DS_Tim","T10255810",48,52.0833333333333,87.5,1,0,0,1,0,0
"DS_Tim","T10257600",34,50,61.7647058823529,0,0,1,1,0,0
"DS_Tim","T10258000",62,41.9354838709677,83.8709677419355,1,0,0,1,0,0
"DS_Tim","T10258500",33,24.2424242424242,72.7272727272727,1,0,0,1,0,0
"DS_Tim","T10259000",63,52.3809523809524,90.4761904761905,1,0,0,1,0,0
"DS_Tim","T10259200",40,37.5,80,1,0,0,1,0,0
"DS_Tim","T10263500",65,36.9230769230769,58.4615384615385,1,0,0,1,0,0
"DS_Tim","T10264000",31,38.7096774193548,93.5483870967742,0,1,0,0,1,0
"DS_Tim","T10264600",24,29.1666666666667,58.3333333333333,0,0,1,1,0,0
"DS_Tim","T10281800",27,18.5185185185185,29.6296296296296,0,0,1,0,0,1
"DS_Tim","T10291500",45,40,64.4444444444444,1,0,0,1,0,0
"DS_Tim","T10295500",49,65.3061224489796,93.8775510204082,1,0,0,1,0,0
"DS_Tim","T10308200",55,43.6363636363636,80,1,0,0,1,0,0
"DS_Tim","T10310000",65,30.7692307692308,63.0769230769231,1,0,0,1,0,0
"DS_Tim","T10336580",21,57.1428571428571,90.4761904761905,1,0,0,1,0,0
"DS_Tim","T10336600",26,53.8461538461538,73.0769230769231,1,0,0,1,0,0
"DS_Tim","T10336645",35,25.7142857142857,60,0,1,0,1,0,0
"DS_Tim","T10336660",55,56.3636363636364,80,1,0,0,1,0,0
"DS_Tim","T10336676",43,55.8139534883721,81.3953488372093,1,0,0,1,0,0
"DS_Tim","T10336770",20,60,80,1,0,0,1,0,0
"DS_Tim","T10336780",55,36.3636363636364,69.0909090909091,0,0,1,1,0,0
"DS_Tim","T10343500",62,54.8387096774194,88.7096774193548,1,0,0,1,0,0
"DS_Tim","T10360900",22,40.9090909090909,86.3636363636364,0,0,1,0,0,1
"DS_Tim","T11033000",28,64.2857142857143,89.2857142857143,0,1,0,1,0,0
"DS_Tim","T11046300",34,61.7647058823529,79.4117647058823,0,1,0,1,0,0
"DS_Tim","T11058600",41,24.390243902439,80.4878048780488,0,0,1,0,0,1
"DS_Tim","T11063000",26,30.7692307692308,61.5384615384615,1,0,0,1,0,0
"DS_Tim","T11073470",25,48,76,1,0,0,1,0,0
"DS_Tim","T11080500",29,79.3103448275862,89.6551724137931,1,0,0,1,0,0
"DS_Tim","T11082000",28,32.1428571428571,64.2857142857143,1,0,0,1,0,0
"DS_Tim","T11084500",29,58.6206896551724,82.7586206896552,1,0,0,1,0,0
"DS_Tim","T11094000",21,52.3809523809524,80.9523809523809,0,1,0,1,0,0
"DS_Tim","T11095500",27,18.5185185185185,33.3333333333333,1,0,0,1,0,0
"DS_Tim","T11098000",65,67.6923076923077,92.3076923076923,1,0,0,1,0,0
"DS_Tim","T11100000",20,15,75,1,0,0,1,0,0
"DS_Tim","T11110500",32,46.875,75,0,1,0,1,0,0
"DS_Tim","T11111500",60,53.3333333333333,88.3333333333333,1,0,0,1,0,0
"DS_Tim","T11113000",31,38.7096774193548,74.1935483870968,0,1,0,0,1,0
"DS_Tim","T11115500",31,12.9032258064516,25.8064516129032,0,0,1,1,0,0
"DS_Tim","T11116000",33,36.3636363636364,72.7272727272727,1,0,0,1,0,0
"DS_Tim","T11117600",30,16.6666666666667,73.3333333333333,1,0,0,1,0,0
"DS_Tim","T11117800",22,40.9090909090909,68.1818181818182,1,0,0,1,0,0
"DS_Tim","T11120500",64,32.8125,59.375,1,0,0,1,0,0
"DS_Tim","T11120550",20,35,85,1,0,0,1,0,0
"DS_Tim","T11124500",64,53.125,92.1875,1,0,0,1,0,0
"DS_Tim","T11132500",38,44.7368421052632,76.3157894736842,1,0,0,1,0,0
"DS_Tim","T11138500",57,66.6666666666667,82.4561403508772,1,0,0,1,0,0
"DS_Tim","T11141150",25,16,40,0,0,1,1,0,0
"DS_Tim","T11141280",48,47.9166666666667,89.5833333333333,1,0,0,1,0,0
"DS_Tim","T11143000",65,38.4615384615385,86.1538461538462,1,0,0,1,0,0
"DS_Tim","T11143500",33,18.1818181818182,69.6969696969697,1,0,0,1,0,0
"DS_Tim","T11148900",44,61.3636363636364,86.3636363636364,1,0,0,1,0,0
"DS_Tim","T11151300",56,57.1428571428571,78.5714285714286,1,0,0,1,0,0
"DS_Tim","T11151870",35,62.8571428571429,82.8571428571429,0,1,0,1,0,0
"DS_Tim","T11153900",21,47.6190476190476,61.9047619047619,1,0,0,1,0,0
"DS_Tim","T11154100",23,34.7826086956522,73.9130434782609,1,0,0,1,0,0
"DS_Tim","T11154700",21,23.8095238095238,52.3809523809524,0,0,1,0,0,1
"DS_Tim","T11160000",64,37.5,64.0625,1,0,0,1,0,0
"DS_Tim","T11160020",24,25,58.3333333333333,1,0,0,1,0,0
"DS_Tim","T11160300",35,8.57142857142857,37.1428571428571,1,0,0,1,0,0
"DS_Tim","T11160500",65,33.8461538461538,66.1538461538461,1,0,0,1,0,0
"DS_Tim","T11162500",64,37.5,62.5,1,0,0,1,0,0
"DS_Tim","T11162570",37,32.4324324324324,67.5675675675676,1,0,0,1,0,0
"DS_Tim","T11169800",33,45.4545454545455,60.6060606060606,1,0,0,1,0,0
"DS_Tim","T11172100",26,42.3076923076923,69.2307692307692,1,0,0,1,0,0
"DS_Tim","T11172945",20,25,70,1,0,0,1,0,0
"DS_Tim","T11173200",34,41.1764705882353,61.7647058823529,1,0,0,1,0,0
"DS_Tim","T11176400",51,58.8235294117647,78.4313725490196,1,0,0,1,0,0
"DS_Tim","T11180500",39,38.4615384615385,74.3589743589744,0,1,0,1,0,0
"DS_Tim","T11180960",37,45.945945945946,81.0810810810811,0,1,0,1,0,0
"DS_Tim","T11182100",27,51.8518518518518,74.0740740740741,1,0,0,1,0,0
"DS_Tim","T11182500",62,19.3548387096774,77.4193548387097,0,0,1,1,0,0
"DS_Tim","T11195500",21,28.5714285714286,66.6666666666667,1,0,0,1,0,0
"DS_Tim","T11196400",21,61.9047619047619,100,1,0,0,1,0,0
"DS_Tim","T11199500",37,78.3783783783784,97.2972972972973,1,0,0,1,0,0
"DS_Tim","T11209900",32,40.625,75,0,0,1,0,0,1
"DS_Tim","T11213500",32,31.25,75,1,0,0,1,0,0
"DS_Tim","T11214000",25,28,56,0,1,0,1,0,0
"DS_Tim","T11218500",31,51.6129032258064,80.6451612903226,1,0,0,1,0,0
"DS_Tim","T11220000",20,80,95,1,0,0,1,0,0
"DS_Tim","T11220500",20,60,85,0,1,0,0,1,0
"DS_Tim","T11224500",50,54,88,1,0,0,1,0,0
"DS_Tim","T11226500",40,47.5,75,1,0,0,1,0,0
"DS_Tim","T11230500",65,49.2307692307692,81.5384615384615,1,0,0,1,0,0
