"STAIDT","obs_median","preds_median","medOE","FFM"
"T10308200",3,3.1,0.967741935483871,"FA_Dur"
"T10310000",4,3.6,1.11111111111111,"FA_Dur"
"T10336645",4,4,1,"FA_Dur"
"T10336660",3,3.60833333333334,0.831408775981524,"FA_Dur"
"T10336676",4,3.75,1.06666666666667,"FA_Dur"
"T10336780",3,4,0.75,"FA_Dur"
"T10343500",4,4,1,"FA_Dur"
"T11058600",4,5,0.8,"FA_Dur"
"T11098000",4,5,0.8,"FA_Dur"
"T11111500",5,5,1,"FA_Dur"
"T11120500",4,5.2,0.769230769230769,"FA_Dur"
"T11124500",5,4.58333333333333,1.09090909090909,"FA_Dur"
"T11132500",4,5,0.8,"FA_Dur"
"T11138500",5,5,1,"FA_Dur"
"T11143000",3.5,4,0.875,"FA_Dur"
"T11151300",5,5,1,"FA_Dur"
"T11151870",5.5,4,1.375,"FA_Dur"
"T11160000",4,4,1,"FA_Dur"
"T11160300",3.5,4,0.875,"FA_Dur"
"T11160500",4,4,1,"FA_Dur"
"T11162500",4,4,1,"FA_Dur"
"T11162570",4,4,1,"FA_Dur"
"T11173200",4,4.5,0.888888888888889,"FA_Dur"
"T11176400",7,5,1.4,"FA_Dur"
"T11182500",5,4.73333333333333,1.05633802816901,"FA_Dur"
"T11209900",4,4,1,"FA_Dur"
"T11213500",3,3,1,"FA_Dur"
"T11218500",3.5,3,1.16666666666667,"FA_Dur"
"T11226500",3,3,1,"FA_Dur"
"T11230500",3.5,4,0.875,"FA_Dur"
"T11237500",4,4,1,"FA_Dur"
"T11264500",3,3,1,"FA_Dur"
"T11266500",4,3,1.33333333333333,"FA_Dur"
"T11275000",3,3,1,"FA_Dur"
"T11281000",4,4,1,"FA_Dur"
"T11282000",4,4,1,"FA_Dur"
"T11283500",5,3.9,1.28205128205128,"FA_Dur"
"T11292500",4,3.66666666666667,1.09090909090909,"FA_Dur"
"T11294000",4,3.5,1.14285714285714,"FA_Dur"
"T11294500",3,3.9,0.769230769230769,"FA_Dur"
"T11315000",3.5,3.41666666666667,1.02439024390244,"FA_Dur"
"T11316800",4,4,1,"FA_Dur"
"T11318500",4,4,1,"FA_Dur"
"T11341400",4,3.5,1.14285714285714,"FA_Dur"
"T11371000",4,4,1,"FA_Dur"
"T11374000",4,4,1,"FA_Dur"
"T11394500",4,3.33333333333333,1.2,"FA_Dur"
"T11406999",2,3.875,0.516129032258065,"FA_Dur"
"T11409300",4,4,1,"FA_Dur"
"T11414000",3,4,0.75,"FA_Dur"
"T11427700",4,4,1,"FA_Dur"
"T11449500",4,4.2,0.952380952380952,"FA_Dur"
"T11451100",4,4,1,"FA_Dur"
"T11464500",4,4,1,"FA_Dur"
"T11468000",5,4,1.25,"FA_Dur"
"T11468500",4,4,1,"FA_Dur"
"T11473900",4,4,1,"FA_Dur"
"T11475560",5,4,1.25,"FA_Dur"
"T11475800",4,4,1,"FA_Dur"
"T11476500",5,4,1.25,"FA_Dur"
"T11476600",4,4,1,"FA_Dur"
"T11478500",4,4,1,"FA_Dur"
"T11480390",5,4,1.25,"FA_Dur"
"T11481200",4,4,1,"FA_Dur"
"T11481500",3,4.5,0.666666666666667,"FA_Dur"
"T11482500",4,4,1,"FA_Dur"
"T11522500",4,4,1,"FA_Dur"
"T11523200",4,4,1,"FA_Dur"
"T11528700",4.5,4,1.125,"FA_Dur"
"T11532500",4,4,1,"FA_Dur"
