"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"FA_Mag","T10308200",44,45.4545454545455,70.4545454545455,1,0,0,1,0,0
"FA_Mag","T10310000",37,43.2432432432432,75.6756756756757,1,0,0,1,0,0
"FA_Mag","T10336645",27,37.037037037037,66.6666666666667,1,0,0,1,0,0
"FA_Mag","T10336660",40,42.5,72.5,1,0,0,1,0,0
"FA_Mag","T10336676",34,29.4117647058824,64.7058823529412,1,0,0,1,0,0
"FA_Mag","T10336780",29,51.7241379310345,93.1034482758621,1,0,0,1,0,0
"FA_Mag","T10343500",41,53.6585365853659,78.0487804878049,1,0,0,1,0,0
"FA_Mag","T11058600",23,52.1739130434783,86.9565217391304,1,0,0,1,0,0
"FA_Mag","T11098000",35,37.1428571428571,85.7142857142857,1,0,0,1,0,0
"FA_Mag","T11111500",28,32.1428571428571,78.5714285714286,1,0,0,1,0,0
"FA_Mag","T11120500",25,52,84,1,0,0,1,0,0
"FA_Mag","T11124500",22,45.4545454545455,77.2727272727273,1,0,0,1,0,0
"FA_Mag","T11132500",20,35,65,1,0,0,1,0,0
"FA_Mag","T11138500",25,12,36,0,1,0,1,0,0
"FA_Mag","T11143000",48,56.25,83.3333333333333,0,0,1,1,0,0
"FA_Mag","T11151300",34,23.5294117647059,47.0588235294118,0,1,0,1,0,0
"FA_Mag","T11151870",24,41.6666666666667,70.8333333333333,1,0,0,1,0,0
"FA_Mag","T11160000",49,36.734693877551,61.2244897959184,1,0,0,1,0,0
"FA_Mag","T11160300",24,37.5,58.3333333333333,0,1,0,1,0,0
"FA_Mag","T11160500",49,40.8163265306122,85.7142857142857,0,0,1,1,0,0
"FA_Mag","T11162500",55,50.9090909090909,85.4545454545455,1,0,0,1,0,0
"FA_Mag","T11162570",32,43.75,71.875,1,0,0,1,0,0
"FA_Mag","T11173200",21,52.3809523809524,71.4285714285714,1,0,0,1,0,0
"FA_Mag","T11176400",25,16,40,1,0,0,1,0,0
"FA_Mag","T11182500",40,62.5,77.5,0,0,1,1,0,0
"FA_Mag","T11209900",27,55.5555555555556,81.4814814814815,1,0,0,1,0,0
"FA_Mag","T11213500",26,38.4615384615385,65.3846153846154,1,0,0,1,0,0
"FA_Mag","T11218500",26,26.9230769230769,73.0769230769231,1,0,0,1,0,0
"FA_Mag","T11226500",27,55.5555555555556,70.3703703703704,1,0,0,1,0,0
"FA_Mag","T11230500",36,69.4444444444444,94.4444444444444,1,0,0,1,0,0
"FA_Mag","T11237500",46,30.4347826086957,43.4782608695652,1,0,0,1,0,0
"FA_Mag","T11264500",49,34.6938775510204,57.1428571428571,1,0,0,1,0,0
"FA_Mag","T11266500",51,29.4117647058824,49.0196078431373,1,0,0,1,0,0
"FA_Mag","T11275000",29,27.5862068965517,48.2758620689655,1,0,0,1,0,0
"FA_Mag","T11281000",41,43.9024390243902,78.0487804878049,1,0,0,1,0,0
"FA_Mag","T11282000",42,30.952380952381,61.9047619047619,1,0,0,1,0,0
"FA_Mag","T11283500",26,11.5384615384615,57.6923076923077,1,0,0,1,0,0
"FA_Mag","T11292500",29,44.8275862068966,89.6551724137931,0,1,0,1,0,0
"FA_Mag","T11294000",21,52.3809523809524,71.4285714285714,1,0,0,1,0,0
"FA_Mag","T11294500",32,31.25,71.875,1,0,0,1,0,0
"FA_Mag","T11315000",52,25,40.3846153846154,1,0,0,1,0,0
"FA_Mag","T11316800",47,42.5531914893617,74.468085106383,1,0,0,1,0,0
"FA_Mag","T11318500",55,40,67.2727272727273,1,0,0,1,0,0
"FA_Mag","T11341400",21,76.1904761904762,95.2380952380952,0,0,1,1,0,0
"FA_Mag","T11371000",31,32.258064516129,70.9677419354839,1,0,0,1,0,0
"FA_Mag","T11374000",27,44.4444444444444,74.0740740740741,0,1,0,1,0,0
"FA_Mag","T11394500",29,31.0344827586207,72.4137931034483,0,1,0,1,0,0
"FA_Mag","T11406999",22,27.2727272727273,59.0909090909091,0,0,1,0,0,1
"FA_Mag","T11409300",29,55.1724137931034,72.4137931034483,1,0,0,1,0,0
"FA_Mag","T11414000",21,47.6190476190476,85.7142857142857,1,0,0,1,0,0
"FA_Mag","T11427700",50,30,64,1,0,0,1,0,0
"FA_Mag","T11449500",44,56.8181818181818,81.8181818181818,1,0,0,1,0,0
"FA_Mag","T11451100",30,30,56.6666666666667,1,0,0,1,0,0
"FA_Mag","T11464500",20,35,50,1,0,0,1,0,0
"FA_Mag","T11468000",45,40,60,1,0,0,1,0,0
"FA_Mag","T11468500",49,38.7755102040816,73.469387755102,1,0,0,1,0,0
"FA_Mag","T11473900",32,40.625,65.625,1,0,0,1,0,0
"FA_Mag","T11475560",36,47.2222222222222,77.7777777777778,1,0,0,1,0,0
"FA_Mag","T11475800",33,33.3333333333333,60.6060606060606,1,0,0,1,0,0
"FA_Mag","T11476500",21,52.3809523809524,76.1904761904762,1,0,0,1,0,0
"FA_Mag","T11476600",36,41.6666666666667,88.8888888888889,1,0,0,1,0,0
"FA_Mag","T11478500",41,41.4634146341463,73.1707317073171,1,0,0,1,0,0
"FA_Mag","T11480390",21,33.3333333333333,47.6190476190476,1,0,0,1,0,0
"FA_Mag","T11481200",45,57.7777777777778,93.3333333333333,1,0,0,1,0,0
"FA_Mag","T11481500",33,36.3636363636364,78.7878787878788,1,0,0,1,0,0
"FA_Mag","T11482500",43,53.4883720930233,62.7906976744186,1,0,0,1,0,0
"FA_Mag","T11522500",51,58.8235294117647,90.1960784313726,1,0,0,1,0,0
"FA_Mag","T11523200",45,71.1111111111111,88.8888888888889,1,0,0,1,0,0
"FA_Mag","T11528700",38,34.2105263157895,78.9473684210526,1,0,0,1,0,0
"FA_Mag","T11532500",43,58.1395348837209,88.3720930232558,1,0,0,1,0,0
