"STAIDT","obs_median","preds_median","medOE","FFM"
"T10308200",37,37,1,"FA_Tim"
"T10310000",38,36,1.05555555555556,"FA_Tim"
"T10336645",32,33,0.96969696969697,"FA_Tim"
"T10336660",34.5,30.6,1.12745098039216,"FA_Tim"
"T10336676",28.5,31.3333333333333,0.909574468085106,"FA_Tim"
"T10336780",42,41,1.02439024390244,"FA_Tim"
"T10343500",37,36,1.02777777777778,"FA_Tim"
"T11058600",31,41.125,0.753799392097264,"FA_Tim"
"T11098000",29,38,0.763157894736842,"FA_Tim"
"T11111500",38.5,42.5,0.905882352941176,"FA_Tim"
"T11120500",39,43.6666666666667,0.893129770992366,"FA_Tim"
"T11124500",49.5,41.25,1.2,"FA_Tim"
"T11132500",44,42.1,1.04513064133017,"FA_Tim"
"T11138500",42,43.55,0.964408725602755,"FA_Tim"
"T11143000",29,25.4583333333333,1.13911620294599,"FA_Tim"
"T11151300",27.5,41.2166666666667,0.667205822887182,"FA_Tim"
"T11151870",26.5,29,0.913793103448276,"FA_Tim"
"T11160000",28,28,1,"FA_Tim"
"T11160300",26,25,1.04,"FA_Tim"
"T11160500",28,28,1,"FA_Tim"
"T11162500",30,33,0.909090909090909,"FA_Tim"
"T11162570",21,25,0.84,"FA_Tim"
"T11173200",40,43.6,0.91743119266055,"FA_Tim"
"T11176400",47,42.1,1.11638954869359,"FA_Tim"
"T11182500",45.5,39.725,1.14537444933921,"FA_Tim"
"T11209900",25,32.2,0.77639751552795,"FA_Tim"
"T11213500",42.5,40,1.0625,"FA_Tim"
"T11218500",38,36,1.05555555555556,"FA_Tim"
"T11226500",28,40,0.7,"FA_Tim"
"T11230500",40.5,32.8875,1.23147092360319,"FA_Tim"
"T11237500",36.5,36,1.01388888888889,"FA_Tim"
"T11264500",38,41,0.926829268292683,"FA_Tim"
"T11266500",42,35.775,1.17400419287212,"FA_Tim"
"T11275000",44,37.1666666666667,1.18385650224215,"FA_Tim"
"T11281000",28,27,1.03703703703704,"FA_Tim"
"T11282000",37.5,27.6,1.35869565217391,"FA_Tim"
"T11283500",27.5,23.625,1.16402116402116,"FA_Tim"
"T11292500",36,27.6666666666667,1.30120481927711,"FA_Tim"
"T11294000",29,36,0.805555555555556,"FA_Tim"
"T11294500",35.5,35.6875,0.994746059544658,"FA_Tim"
"T11315000",40,31.8166666666666,1.25720272393924,"FA_Tim"
"T11316800",28,25,1.12,"FA_Tim"
"T11318500",25,25,1,"FA_Tim"
"T11341400",11,21.25,0.517647058823529,"FA_Tim"
"T11371000",24,19.875,1.20754716981132,"FA_Tim"
"T11374000",10,27.25,0.36697247706422,"FA_Tim"
"T11394500",26,28,0.928571428571429,"FA_Tim"
"T11406999",19.5,25.1666666666667,0.774834437086093,"FA_Tim"
"T11409300",23,22,1.04545454545455,"FA_Tim"
"T11414000",33,27,1.22222222222222,"FA_Tim"
"T11427700",23.5,24.6333333333334,0.953991880920162,"FA_Tim"
"T11449500",20,26.6375,0.750821210699202,"FA_Tim"
"T11451100",29,24.75,1.17171717171717,"FA_Tim"
"T11464500",18,24.05,0.748440748440748,"FA_Tim"
"T11468000",26,25,1.04,"FA_Tim"
"T11468500",22,22,1,"FA_Tim"
"T11473900",23.5,22.625,1.03867403314917,"FA_Tim"
"T11475560",26,22,1.18181818181818,"FA_Tim"
"T11475800",23,22,1.04545454545455,"FA_Tim"
"T11476500",11,15,0.733333333333333,"FA_Tim"
"T11476600",22,23,0.956521739130435,"FA_Tim"
"T11478500",22,19,1.15789473684211,"FA_Tim"
"T11480390",30,24,1.25,"FA_Tim"
"T11481200",18,20.5,0.878048780487805,"FA_Tim"
"T11481500",22,22,1,"FA_Tim"
"T11482500",15,16.5,0.909090909090909,"FA_Tim"
"T11522500",23,21.75,1.05747126436782,"FA_Tim"
"T11523200",24,22,1.09090909090909,"FA_Tim"
"T11528700",28,22.5,1.24444444444444,"FA_Tim"
"T11532500",14,17.25,0.811594202898551,"FA_Tim"
