"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"Peak_Dur_20","T10255800",33,78.7878787878788,78.7878787878788,1,1,1,1,0,1
"Peak_Dur_20","T10257500",21,76.1904761904762,85.7142857142857,1,1,1,1,0,1
"Peak_Dur_20","T10257600",26,73.0769230769231,73.0769230769231,1,0,1,1,0,1
"Peak_Dur_20","T10258000",36,72.2222222222222,91.6666666666667,1,0,1,1,0,1
"Peak_Dur_20","T10259000",65,78.4615384615385,87.6923076923077,1,1,1,1,0,1
"Peak_Dur_20","T10263500",65,80,86.1538461538462,1,1,1,1,0,1
"Peak_Dur_20","T10264000",21,76.1904761904762,76.1904761904762,1,1,1,1,0,1
"Peak_Dur_20","T10264600",22,77.2727272727273,86.3636363636364,1,1,1,1,0,1
"Peak_Dur_20","T10281800",28,78.5714285714286,92.8571428571429,1,1,1,1,0,1
"Peak_Dur_20","T10291500",45,77.7777777777778,77.7777777777778,1,1,1,1,0,1
"Peak_Dur_20","T10295500",49,79.5918367346939,79.5918367346939,1,1,1,1,0,1
"Peak_Dur_20","T10308200",55,80,80,1,1,1,1,0,1
"Peak_Dur_20","T10310000",65,78.4615384615385,78.4615384615385,1,1,1,1,0,1
"Peak_Dur_20","T10336580",21,76.1904761904762,100,1,1,1,1,0,1
"Peak_Dur_20","T10336600",26,76.9230769230769,84.6153846153846,1,1,1,1,0,1
"Peak_Dur_20","T10336645",35,80,80,1,1,1,1,0,1
"Peak_Dur_20","T10336660",55,80,89.0909090909091,1,1,1,1,0,1
"Peak_Dur_20","T10336676",43,79.0697674418605,83.7209302325581,1,1,1,1,0,1
"Peak_Dur_20","T10336770",21,76.1904761904762,85.7142857142857,1,1,1,1,0,1
"Peak_Dur_20","T10336780",55,80,81.8181818181818,1,1,1,1,0,1
"Peak_Dur_20","T10343500",62,79.0322580645161,87.0967741935484,1,1,1,1,0,1
"Peak_Dur_20","T10360900",22,77.2727272727273,90.9090909090909,1,1,1,1,0,1
"Peak_Dur_20","T11033000",22,72.7272727272727,77.2727272727273,1,0,1,1,0,1
"Peak_Dur_20","T11058600",41,78.0487804878049,82.9268292682927,1,1,1,1,0,1
"Peak_Dur_20","T11063000",26,76.9230769230769,76.9230769230769,1,1,1,1,0,1
"Peak_Dur_20","T11073470",25,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11080500",29,79.3103448275862,79.3103448275862,1,1,1,1,0,1
"Peak_Dur_20","T11082000",28,78.5714285714286,78.5714285714286,1,1,1,1,0,1
"Peak_Dur_20","T11084500",23,73.9130434782609,73.9130434782609,1,0,1,1,0,1
"Peak_Dur_20","T11095500",27,77.7777777777778,77.7777777777778,1,1,1,1,0,1
"Peak_Dur_20","T11098000",65,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11100000",20,75,95,1,0,1,1,0,1
"Peak_Dur_20","T11111500",59,79.6610169491525,86.4406779661017,1,1,1,1,0,1
"Peak_Dur_20","T11113000",31,77.4193548387097,77.4193548387097,1,1,1,1,0,1
"Peak_Dur_20","T11115500",31,77.4193548387097,77.4193548387097,1,1,1,1,0,1
"Peak_Dur_20","T11116000",33,78.7878787878788,78.7878787878788,1,1,1,1,0,1
"Peak_Dur_20","T11117600",29,79.3103448275862,79.3103448275862,1,1,1,1,0,1
"Peak_Dur_20","T11120500",59,77.9661016949153,93.2203389830508,1,1,1,1,0,1
"Peak_Dur_20","T11124500",29,79.3103448275862,79.3103448275862,1,0,1,1,0,1
"Peak_Dur_20","T11132500",37,78.3783783783784,78.3783783783784,1,1,1,1,0,1
"Peak_Dur_20","T11138500",57,78.9473684210526,78.9473684210526,1,1,1,1,0,1
"Peak_Dur_20","T11141150",25,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11141280",48,79.1666666666667,79.1666666666667,1,1,1,1,0,1
"Peak_Dur_20","T11143000",65,80,93.8461538461538,1,1,1,1,0,1
"Peak_Dur_20","T11143500",33,78.7878787878788,78.7878787878788,1,1,1,1,0,1
"Peak_Dur_20","T11151300",54,77.7777777777778,77.7777777777778,1,1,1,1,0,1
"Peak_Dur_20","T11151870",41,78.0487804878049,78.0487804878049,1,1,1,1,0,1
"Peak_Dur_20","T11153900",21,76.1904761904762,90.4761904761905,1,1,1,1,0,1
"Peak_Dur_20","T11160000",64,79.6875,87.5,1,1,1,1,0,1
"Peak_Dur_20","T11160020",24,79.1666666666667,79.1666666666667,1,1,1,1,0,1
"Peak_Dur_20","T11160300",35,77.1428571428572,77.1428571428572,1,1,1,1,0,1
"Peak_Dur_20","T11160500",65,80,96.9230769230769,1,1,1,1,0,1
"Peak_Dur_20","T11162500",64,79.6875,79.6875,1,1,1,1,0,1
"Peak_Dur_20","T11162570",38,78.9473684210526,78.9473684210526,1,1,1,1,0,1
"Peak_Dur_20","T11172100",25,76,76,1,1,1,1,0,1
"Peak_Dur_20","T11173200",34,79.4117647058823,79.4117647058823,1,1,1,1,0,1
"Peak_Dur_20","T11182100",21,100,100,1,0,1,1,0,1
"Peak_Dur_20","T11182500",48,93.75,93.75,1,0,1,1,0,1
"Peak_Dur_20","T11195500",22,77.2727272727273,77.2727272727273,1,1,1,1,0,1
"Peak_Dur_20","T11209900",32,78.125,78.125,1,1,1,1,0,1
"Peak_Dur_20","T11213500",32,78.125,78.125,1,1,1,1,0,1
"Peak_Dur_20","T11214000",25,88,92,1,1,1,1,0,1
"Peak_Dur_20","T11218500",31,77.4193548387097,77.4193548387097,1,1,1,1,0,1
"Peak_Dur_20","T11220000",20,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11226500",40,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11230500",65,84.6153846153846,98.4615384615385,1,1,1,1,0,1
"Peak_Dur_20","T11237500",64,79.6875,89.0625,1,1,1,1,0,1
"Peak_Dur_20","T11257500",21,76.1904761904762,76.1904761904762,1,1,1,1,0,1
"Peak_Dur_20","T11258000",21,76.1904761904762,90.4761904761905,1,1,1,1,0,1
"Peak_Dur_20","T11264500",65,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11266500",65,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11268000",24,79.1666666666667,79.1666666666667,1,1,1,1,0,1
"Peak_Dur_20","T11275000",33,81.8181818181818,93.9393939393939,1,1,1,1,0,1
"Peak_Dur_20","T11281000",51,78.4313725490196,78.4313725490196,1,1,1,1,0,1
"Peak_Dur_20","T11282000",51,78.4313725490196,78.4313725490196,1,1,1,1,0,1
"Peak_Dur_20","T11283500",33,78.7878787878788,78.7878787878788,1,1,1,1,0,1
"Peak_Dur_20","T11292500",44,79.5454545454545,88.6363636363636,1,1,1,1,0,1
"Peak_Dur_20","T11294000",29,79.3103448275862,86.2068965517241,1,1,1,1,0,1
"Peak_Dur_20","T11294500",39,79.4871794871795,79.4871794871795,1,1,1,1,0,1
"Peak_Dur_20","T11315000",65,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11316800",55,78.1818181818182,78.1818181818182,1,1,1,1,0,1
"Peak_Dur_20","T11318500",65,78.4615384615385,78.4615384615385,1,1,1,1,0,1
"Peak_Dur_20","T11341400",28,78.5714285714286,89.2857142857143,1,1,1,1,0,1
"Peak_Dur_20","T11355500",20,80,85,1,1,1,1,0,1
"Peak_Dur_20","T11371000",43,93.0232558139535,95.3488372093023,1,1,1,1,0,1
"Peak_Dur_20","T11374000",31,90.3225806451613,100,1,1,1,1,0,1
"Peak_Dur_20","T11375700",24,79.1666666666667,95.8333333333333,1,1,1,1,0,1
"Peak_Dur_20","T11379000",32,78.125,78.125,1,1,1,1,0,1
"Peak_Dur_20","T11394500",35,80,85.7142857142857,1,1,1,1,0,1
"Peak_Dur_20","T11396400",22,95.4545454545455,100,1,1,1,1,0,1
"Peak_Dur_20","T11406999",27,77.7777777777778,77.7777777777778,1,1,1,1,0,1
"Peak_Dur_20","T11409300",33,78.7878787878788,81.8181818181818,1,1,1,1,0,1
"Peak_Dur_20","T11413320",20,80,90,1,1,1,1,0,1
"Peak_Dur_20","T11414000",31,80.6451612903226,96.7741935483871,1,1,1,1,0,1
"Peak_Dur_20","T11418000",20,80,90,1,1,1,1,0,1
"Peak_Dur_20","T11426150",20,80,90,1,0,1,1,0,1
"Peak_Dur_20","T11427700",55,80,94.5454545454545,1,1,1,1,0,1
"Peak_Dur_20","T11433260",20,80,90,1,1,1,1,0,1
"Peak_Dur_20","T11449500",64,79.6875,93.75,1,1,1,1,0,1
"Peak_Dur_20","T11451100",44,79.5454545454545,93.1818181818182,1,1,1,1,0,1
"Peak_Dur_20","T11464500",30,80,96.6666666666667,1,1,1,1,0,1
"Peak_Dur_20","T11467500",25,92,92,1,1,1,1,0,1
"Peak_Dur_20","T11467600",21,76.1904761904762,100,1,1,1,1,0,1
"Peak_Dur_20","T11468000",64,79.6875,89.0625,1,1,1,1,0,1
"Peak_Dur_20","T11468500",64,79.6875,93.75,1,1,1,1,0,1
"Peak_Dur_20","T11472900",21,95.2380952380952,95.2380952380952,1,1,1,1,0,1
"Peak_Dur_20","T11473900",50,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11474500",27,77.7777777777778,92.5925925925926,1,1,1,1,0,1
"Peak_Dur_20","T11475500",20,95,95,1,1,1,1,0,1
"Peak_Dur_20","T11475560",48,93.75,95.8333333333333,1,1,1,1,0,1
"Peak_Dur_20","T11475800",45,75.5555555555556,88.8888888888889,1,1,1,1,0,1
"Peak_Dur_20","T11476500",31,77.4193548387097,93.5483870967742,1,1,1,1,0,1
"Peak_Dur_20","T11476600",55,80,90.9090909090909,1,1,1,1,0,1
"Peak_Dur_20","T11477000",21,76.1904761904762,90.4761904761905,1,1,1,1,0,1
"Peak_Dur_20","T11478500",65,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11480390",30,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11481200",60,80,98.3333333333333,1,1,1,1,0,1
"Peak_Dur_20","T11481500",44,79.5454545454545,95.4545454545455,1,1,1,1,0,1
"Peak_Dur_20","T11482500",62,79.0322580645161,79.0322580645161,1,1,1,1,0,1
"Peak_Dur_20","T11522500",65,80,86.1538461538462,1,1,1,1,0,1
"Peak_Dur_20","T11523200",58,79.3103448275862,91.3793103448276,1,1,1,1,0,1
"Peak_Dur_20","T11526500",32,78.125,84.375,1,1,1,1,0,1
"Peak_Dur_20","T11528700",50,80,80,1,1,1,1,0,1
"Peak_Dur_20","T11532500",65,92.3076923076923,96.9230769230769,1,1,1,1,0,1
