"STAIDT","obs_median","preds_median","medOE","FFM"
"T10255810",3.5,1.40833333333333,2.48520710059171,"Peak_Fre_50"
"T10257600",2,1,2,"Peak_Fre_50"
"T10258000",1,2,0.5,"Peak_Fre_50"
"T10258500",3.5,2,1.75,"Peak_Fre_50"
"T10259000",1,2,0.5,"Peak_Fre_50"
"T10259200",2,2,1,"Peak_Fre_50"
"T10263500",1,2,0.5,"Peak_Fre_50"
"T10291500",2,2,1,"Peak_Fre_50"
"T10295500",2,2,1,"Peak_Fre_50"
"T10308200",2.5,2,1.25,"Peak_Fre_50"
"T10310000",2,2,1,"Peak_Fre_50"
"T10336660",2,2,1,"Peak_Fre_50"
"T10336676",2,2,1,"Peak_Fre_50"
"T10336780",2,2,1,"Peak_Fre_50"
"T10343500",3,2,1.5,"Peak_Fre_50"
"T11046300",2,1.83333333333334,1.09090909090909,"Peak_Fre_50"
"T11058600",2,2,1,"Peak_Fre_50"
"T11098000",2,2,1,"Peak_Fre_50"
"T11111500",2,2,1,"Peak_Fre_50"
"T11120500",2,2,1,"Peak_Fre_50"
"T11124500",2,2,1,"Peak_Fre_50"
"T11138500",2,2,1,"Peak_Fre_50"
"T11141280",3,2,1.5,"Peak_Fre_50"
"T11143000",2,2,1,"Peak_Fre_50"
"T11148900",2,2,1,"Peak_Fre_50"
"T11151300",2,1.4,1.42857142857143,"Peak_Fre_50"
"T11160000",2,2,1,"Peak_Fre_50"
"T11160500",2,2,1,"Peak_Fre_50"
"T11162500",2,2,1,"Peak_Fre_50"
"T11162570",1,1,1,"Peak_Fre_50"
"T11176400",2,2.2,0.909090909090909,"Peak_Fre_50"
"T11180500",2,2,1,"Peak_Fre_50"
"T11182500",2,2,1,"Peak_Fre_50"
"T11224500",2,2,1,"Peak_Fre_50"
"T11226500",2,2,1,"Peak_Fre_50"
"T11230500",2,2.5,0.8,"Peak_Fre_50"
"T11237500",2,2,1,"Peak_Fre_50"
"T11253310",2,2.25,0.888888888888889,"Peak_Fre_50"
"T11264500",2,2,1,"Peak_Fre_50"
"T11266500",2,2,1,"Peak_Fre_50"
"T11274500",3,2,1.5,"Peak_Fre_50"
"T11274630",2,3,0.666666666666667,"Peak_Fre_50"
"T11281000",2,2,1,"Peak_Fre_50"
"T11282000",2.5,2,1.25,"Peak_Fre_50"
"T11284400",2,2,1,"Peak_Fre_50"
"T11292500",3,2,1.5,"Peak_Fre_50"
"T11294500",2,2,1,"Peak_Fre_50"
"T11315000",2,2,1,"Peak_Fre_50"
"T11316800",3,2,1.5,"Peak_Fre_50"
"T11318500",2,2,1,"Peak_Fre_50"
"T11371000",1,2,0.5,"Peak_Fre_50"
"T11427700",1.5,2,0.75,"Peak_Fre_50"
"T11449500",1,1.5,0.666666666666667,"Peak_Fre_50"
"T11451100",2,1,2,"Peak_Fre_50"
"T11468000",1,1,1,"Peak_Fre_50"
"T11468500",2,1,2,"Peak_Fre_50"
"T11473900",2.5,1,2.5,"Peak_Fre_50"
"T11475560",1.5,2.7,0.555555555555555,"Peak_Fre_50"
"T11475800",2,1,2,"Peak_Fre_50"
"T11476600",1,1.55,0.645161290322581,"Peak_Fre_50"
"T11478500",1,1,1,"Peak_Fre_50"
"T11481200",1,1.60416666666666,0.623376623376624,"Peak_Fre_50"
"T11481500",1,1.225,0.816326530612245,"Peak_Fre_50"
"T11482500",1,1,1,"Peak_Fre_50"
"T11522500",1,2,0.5,"Peak_Fre_50"
"T11523200",1,2,0.5,"Peak_Fre_50"
"T11528700",2,1,2,"Peak_Fre_50"
"T11532500",1,2,0.5,"Peak_Fre_50"
