"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"Peak_Fre_50","T10255810",26,42.3076923076923,69.2307692307692,1,0,0,1,0,0
"Peak_Fre_50","T10257600",22,63.6363636363636,72.7272727272727,1,0,1,1,0,1
"Peak_Fre_50","T10258000",35,74.2857142857143,97.1428571428571,1,0,0,1,0,0
"Peak_Fre_50","T10258500",24,50,62.5,1,0,1,1,0,0
"Peak_Fre_50","T10259000",33,78.7878787878788,90.9090909090909,1,0,0,1,0,0
"Peak_Fre_50","T10259200",27,74.0740740740741,92.5925925925926,1,0,1,1,0,0
"Peak_Fre_50","T10263500",33,81.8181818181818,81.8181818181818,1,0,0,1,0,0
"Peak_Fre_50","T10291500",23,39.1304347826087,82.6086956521739,1,0,0,1,0,0
"Peak_Fre_50","T10295500",25,80,92,1,0,1,1,0,0
"Peak_Fre_50","T10308200",28,75,92.8571428571429,1,0,0,1,0,0
"Peak_Fre_50","T10310000",33,75.7575757575758,90.9090909090909,1,0,0,1,0,0
"Peak_Fre_50","T10336660",28,71.4285714285714,96.4285714285714,1,0,0,1,0,0
"Peak_Fre_50","T10336676",22,40.9090909090909,95.4545454545455,1,0,0,1,0,0
"Peak_Fre_50","T10336780",28,60.7142857142857,78.5714285714286,1,0,0,1,0,0
"Peak_Fre_50","T10343500",31,64.5161290322581,83.8709677419355,1,0,0,1,0,0
"Peak_Fre_50","T11046300",20,70,75,1,0,0,1,0,0
"Peak_Fre_50","T11058600",22,86.3636363636364,86.3636363636364,1,0,0,1,0,0
"Peak_Fre_50","T11098000",33,66.6666666666667,93.9393939393939,1,0,0,1,0,0
"Peak_Fre_50","T11111500",30,76.6666666666667,86.6666666666667,1,0,0,1,0,0
"Peak_Fre_50","T11120500",32,75,90.625,1,0,0,1,0,0
"Peak_Fre_50","T11124500",33,72.7272727272727,81.8181818181818,1,0,0,1,0,0
"Peak_Fre_50","T11138500",29,58.6206896551724,86.2068965517241,1,0,0,1,0,0
