"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"SP_Dur","T10255800",28,32.1428571428571,50,1,0,0,1,0,0
"SP_Dur","T10255810",48,66.6666666666667,87.5,1,0,0,1,0,0
"SP_Dur","T10257600",32,43.75,65.625,1,0,0,1,0,0
"SP_Dur","T10258000",59,52.5423728813559,89.8305084745763,0,1,0,1,0,0
"SP_Dur","T10258500",33,42.4242424242424,78.7878787878788,1,0,0,1,0,0
"SP_Dur","T10259000",60,48.3333333333333,75,0,0,1,1,0,0
"SP_Dur","T10259200",36,36.1111111111111,58.3333333333333,1,0,0,1,0,0
"SP_Dur","T10263500",64,48.4375,76.5625,0,0,1,1,0,0
"SP_Dur","T10264000",31,61.2903225806452,96.7741935483871,1,0,0,1,0,0
"SP_Dur","T10264600",24,29.1666666666667,58.3333333333333,1,0,0,1,0,0
"SP_Dur","T10281800",27,66.6666666666667,92.5925925925926,1,0,0,1,0,0
"SP_Dur","T10291500",45,55.5555555555556,88.8888888888889,1,0,0,1,0,0
"SP_Dur","T10295500",49,59.1836734693878,89.7959183673469,1,0,0,1,0,0
"SP_Dur","T10308200",55,54.5454545454545,76.3636363636364,1,0,0,1,0,0
"SP_Dur","T10310000",65,43.0769230769231,67.6923076923077,1,0,0,1,0,0
"SP_Dur","T10336580",21,71.4285714285714,95.2380952380952,1,0,0,1,0,0
"SP_Dur","T10336600",26,53.8461538461538,76.9230769230769,1,0,0,1,0,0
"SP_Dur","T10336645",35,28.5714285714286,57.1428571428571,0,1,0,0,1,0
"SP_Dur","T10336660",55,65.4545454545455,89.0909090909091,1,0,0,1,0,0
"SP_Dur","T10336676",43,69.7674418604651,88.3720930232558,1,0,0,1,0,0
"SP_Dur","T10336770",20,40,80,1,0,0,1,0,0
"SP_Dur","T10336780",55,43.6363636363636,78.1818181818182,1,0,0,1,0,0
"SP_Dur","T10343500",62,66.1290322580645,91.9354838709677,0,0,1,1,0,0
"SP_Dur","T10360900",22,77.2727272727273,100,0,0,1,1,0,0
"SP_Dur","T11033000",28,64.2857142857143,96.4285714285714,1,0,0,1,0,0
"SP_Dur","T11046300",34,64.7058823529412,85.2941176470588,0,1,0,1,0,0
"SP_Dur","T11058600",41,60.9756097560976,95.1219512195122,1,0,1,1,0,0
"SP_Dur","T11063000",26,42.3076923076923,61.5384615384615,1,0,0,1,0,0
"SP_Dur","T11073470",25,44,68,1,0,0,1,0,0
"SP_Dur","T11080500",28,60.7142857142857,92.8571428571429,1,0,0,1,0,0
"SP_Dur","T11082000",28,32.1428571428571,67.8571428571429,1,0,0,1,0,0
"SP_Dur","T11084500",29,51.7241379310345,79.3103448275862,1,0,0,1,0,0
"SP_Dur","T11094000",21,47.6190476190476,80.9523809523809,1,0,0,1,0,0
"SP_Dur","T11095500",27,22.2222222222222,44.4444444444444,1,0,0,1,0,0
"SP_Dur","T11098000",65,46.1538461538462,87.6923076923077,1,0,0,1,0,0
"SP_Dur","T11100000",20,50,75,1,0,0,1,0,0
"SP_Dur","T11110500",32,43.75,65.625,1,0,0,1,0,0
"SP_Dur","T11111500",60,50,75,1,0,0,1,0,0
"SP_Dur","T11113000",31,48.3870967741936,80.6451612903226,1,0,0,1,0,0
"SP_Dur","T11115500",31,48.3870967741936,67.741935483871,1,0,0,1,0,0
"SP_Dur","T11116000",31,67.741935483871,87.0967741935484,1,0,0,1,0,0
"SP_Dur","T11117600",30,30,50,1,0,0,1,0,0
"SP_Dur","T11117800",22,31.8181818181818,86.3636363636364,1,0,0,1,0,0
"SP_Dur","T11120500",64,31.25,73.4375,1,0,0,1,0,0
"SP_Dur","T11124500",64,73.4375,92.1875,1,0,0,1,0,0
"SP_Dur","T11132500",37,45.945945945946,72.972972972973,1,0,0,1,0,0
"SP_Dur","T11138500",56,66.0714285714286,83.9285714285714,1,0,0,1,0,0
"SP_Dur","T11141150",25,36,76,0,0,1,1,0,0
"SP_Dur","T11141280",48,60.4166666666667,87.5,1,0,0,1,0,0
"SP_Dur","T11143000",65,70.7692307692308,84.6153846153846,1,0,0,1,0,0
"SP_Dur","T11143500",33,21.2121212121212,57.5757575757576,1,0,0,1,0,0
"SP_Dur","T11148900",43,53.4883720930233,95.3488372093023,1,0,0,1,0,0
"SP_Dur","T11151300",54,48.1481481481481,72.2222222222222,1,0,0,1,0,0
"SP_Dur","T11151870",35,51.4285714285714,85.7142857142857,1,0,0,1,0,0
"SP_Dur","T11153900",21,47.6190476190476,80.9523809523809,1,0,0,1,0,0
"SP_Dur","T11154100",22,40.9090909090909,63.6363636363636,1,0,0,1,0,0
"SP_Dur","T11154700",21,14.2857142857143,47.6190476190476,0,0,1,0,0,1
"SP_Dur","T11160000",64,37.5,75,1,0,0,1,0,0
"SP_Dur","T11160020",24,45.8333333333333,70.8333333333333,0,0,1,1,0,0
"SP_Dur","T11160300",35,17.1428571428571,45.7142857142857,1,0,0,1,0,0
"SP_Dur","T11160500",65,56.9230769230769,78.4615384615385,1,0,0,1,0,0
"SP_Dur","T11162500",64,50,82.8125,1,0,0,1,0,0
"SP_Dur","T11162570",37,37.8378378378378,72.972972972973,1,0,0,1,0,0
"SP_Dur","T11169800",33,45.4545454545455,75.7575757575758,1,0,0,1,0,0
"SP_Dur","T11172100",26,38.4615384615385,76.9230769230769,1,0,0,1,0,0
"SP_Dur","T11172945",20,50,80,1,0,0,1,0,0
"SP_Dur","T11173200",34,61.7647058823529,73.5294117647059,1,0,0,1,0,0
"SP_Dur","T11176400",49,42.8571428571429,77.5510204081633,0,1,0,1,0,0
"SP_Dur","T11180500",39,48.7179487179487,76.9230769230769,0,1,0,1,0,0
"SP_Dur","T11180960",37,72.972972972973,97.2972972972973,1,0,0,1,0,0
"SP_Dur","T11182100",27,51.8518518518518,66.6666666666667,1,0,0,1,0,0
"SP_Dur","T11182500",62,41.9354838709677,79.0322580645161,1,0,0,1,0,0
"SP_Dur","T11195500",20,30,50,1,0,0,1,0,0
"SP_Dur","T11196400",21,66.6666666666667,85.7142857142857,1,0,0,1,0,0
"SP_Dur","T11199500",37,54.0540540540541,91.8918918918919,1,0,0,1,0,0
"SP_Dur","T11209900",32,68.75,93.75,1,0,0,1,0,0
"SP_Dur","T11213500",32,53.125,84.375,1,0,0,1,0,0
"SP_Dur","T11214000",25,56,80,1,0,0,1,0,0
"SP_Dur","T11218500",31,54.8387096774194,83.8709677419355,1,0,0,1,0,0
"SP_Dur","T11220000",20,50,85,1,0,0,1,0,0
"SP_Dur","T11220500",20,40,65,1,0,0,1,0,0
"SP_Dur","T11224500",48,41.6666666666667,66.6666666666667,1,0,0,1,0,0
"SP_Dur","T11226500",40,47.5,70,1,0,0,1,0,0
"SP_Dur","T11230500",65,73.8461538461539,98.4615384615385,1,0,0,1,0,0
"SP_Dur","T11237500",64,68.75,95.3125,1,0,0,1,0,0
"SP_Dur","T11253310",33,48.4848484848485,75.7575757575758,1,0,0,1,0,0
"SP_Dur","T11257500",21,57.1428571428571,90.4761904761905,1,0,0,1,0,0
"SP_Dur","T11258000",21,47.6190476190476,76.1904761904762,1,0,0,1,0,0
"SP_Dur","T11259000",22,36.3636363636364,77.2727272727273,0,1,0,1,0,0
"SP_Dur","T11264500",65,38.4615384615385,80,1,0,0,1,0,0
"SP_Dur","T11266500",65,46.1538461538462,76.9230769230769,1,0,0,1,0,0
"SP_Dur","T11268000",24,41.6666666666667,75,0,1,0,0,1,0
"SP_Dur","T11269300",20,30,70,1,0,0,1,0,0
"SP_Dur","T11274500",33,54.5454545454545,90.9090909090909,1,0,0,1,0,0
"SP_Dur","T11274630",43,51.1627906976744,79.0697674418605,1,0,0,1,0,0
"SP_Dur","T11275000",33,42.4242424242424,87.8787878787879,0,1,0,1,0,0
"SP_Dur","T11281000",51,68.6274509803922,88.2352941176471,1,0,0,1,0,0
"SP_Dur","T11282000",51,74.5098039215686,98.0392156862745,1,0,0,1,0,0
"SP_Dur","T11283500",32,68.75,84.375,1,0,0,1,0,0
"SP_Dur","T11284400",45,46.6666666666667,80,1,0,0,1,0,0
"SP_Dur","T11292500",44,70.4545454545455,93.1818181818182,1,0,0,1,0,0
"SP_Dur","T11294000",29,20.6896551724138,41.3793103448276,1,0,0,1,0,0
"SP_Dur","T11294500",39,41.025641025641,69.2307692307692,1,0,0,1,0,0
"SP_Dur","T11299600",31,64.5161290322581,93.5483870967742,1,0,0,1,0,0
"SP_Dur","T11315000",65,33.8461538461538,78.4615384615385,0,1,0,1,0,0
"SP_Dur","T11316800",54,53.7037037037037,74.0740740740741,0,0,1,1,0,0
"SP_Dur","T11318500",65,47.6923076923077,73.8461538461539,1,0,0,1,0,0
"SP_Dur","T11334300",23,78.2608695652174,86.9565217391304,1,0,0,1,0,0
"SP_Dur","T11337500",22,68.1818181818182,95.4545454545455,1,0,0,1,0,0
"SP_Dur","T11341400",28,39.2857142857143,71.4285714285714,1,0,0,1,0,0
"SP_Dur","T11355500",20,30,40,0,1,0,1,0,0
"SP_Dur","T11371000",43,65.1162790697674,97.6744186046512,1,0,0,1,0,0
"SP_Dur","T11374000",31,41.9354838709677,80.6451612903226,1,0,0,1,0,0
"SP_Dur","T11375700",24,50,79.1666666666667,1,0,0,1,0,0
"SP_Dur","T11379000",32,25,50,1,0,0,1,0,0
"SP_Dur","T11390672",23,30.4347826086957,73.9130434782609,1,0,0,1,0,0
"SP_Dur","T11394500",35,65.7142857142857,85.7142857142857,1,0,0,1,0,0
"SP_Dur","T11396400",22,72.7272727272727,86.3636363636364,1,0,0,1,0,0
"SP_Dur","T11406999",26,23.0769230769231,61.5384615384615,0,0,1,0,0,1
"SP_Dur","T11409300",33,48.4848484848485,84.8484848484848,1,0,0,1,0,0
"SP_Dur","T11413320",20,30,40,1,0,0,1,0,0
"SP_Dur","T11414000",31,25.8064516129032,48.3870967741936,1,0,0,1,0,0
"SP_Dur","T11418000",20,35,50,1,0,0,1,0,0
"SP_Dur","T11426150",20,65,80,1,0,0,1,0,0
"SP_Dur","T11427700",55,27.2727272727273,70.9090909090909,0,1,0,1,0,0
"SP_Dur","T11433260",20,50,75,1,0,0,1,0,0
"SP_Dur","T11449500",64,59.375,76.5625,1,0,0,1,0,0
"SP_Dur","T11451100",44,63.6363636363636,88.6363636363636,1,0,0,1,0,0
