"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"SP_ROC","T10255800",28,32.1428571428571,67.8571428571429,0,1,0,1,0,0
"SP_ROC","T10255810",47,63.8297872340426,87.2340425531915,1,0,0,1,0,0
"SP_ROC","T10257600",31,38.7096774193548,58.0645161290323,1,0,0,1,0,0
"SP_ROC","T10258000",59,66.1016949152542,86.4406779661017,1,0,0,1,0,0
"SP_ROC","T10258500",32,43.75,87.5,1,0,0,1,0,0
"SP_ROC","T10259000",60,25,56.6666666666667,0,1,0,1,0,0
"SP_ROC","T10259200",35,54.2857142857143,74.2857142857143,1,0,0,1,0,0
"SP_ROC","T10263500",64,48.4375,75,0,1,0,1,0,0
"SP_ROC","T10264000",31,67.741935483871,90.3225806451613,1,0,0,1,0,0
"SP_ROC","T10264600",24,50,70.8333333333333,1,0,0,1,0,0
"SP_ROC","T10281800",27,11.1111111111111,81.4814814814815,0,1,0,0,1,0
"SP_ROC","T10291500",45,8.88888888888889,40,0,1,0,0,1,0
"SP_ROC","T10295500",49,59.1836734693878,97.9591836734694,0,1,0,1,0,0
"SP_ROC","T10308200",55,90.9090909090909,100,1,0,0,1,0,0
"SP_ROC","T10310000",65,52.3076923076923,92.3076923076923,0,1,0,1,0,0
"SP_ROC","T10336580",21,95.2380952380952,100,1,0,0,1,0,0
"SP_ROC","T10336600",26,88.4615384615385,100,1,0,0,1,0,0
"SP_ROC","T10336645",35,82.8571428571429,100,0,0,1,0,0,1
"SP_ROC","T10336660",55,85.4545454545455,100,1,0,0,1,0,0
"SP_ROC","T10336676",43,76.7441860465116,97.6744186046512,0,0,1,1,0,0
"SP_ROC","T10336770",20,60,60,0,1,0,1,0,0
"SP_ROC","T10336780",55,34.5454545454545,70.9090909090909,0,1,0,0,1,0
"SP_ROC","T10343500",62,25.8064516129032,82.258064516129,0,1,0,0,1,0
"SP_ROC","T10360900",22,90.9090909090909,100,1,0,0,1,0,0
"SP_ROC","T11033000",28,53.5714285714286,89.2857142857143,1,0,0,1,0,0
"SP_ROC","T11046300",34,38.2352941176471,67.6470588235294,0,1,0,1,0,0
"SP_ROC","T11058600",41,41.4634146341463,73.1707317073171,1,0,0,1,0,0
"SP_ROC","T11063000",26,69.2307692307692,92.3076923076923,1,0,0,1,0,0
"SP_ROC","T11073470",25,44,96,1,0,0,1,0,0
"SP_ROC","T11080500",28,46.4285714285714,78.5714285714286,1,0,0,1,0,0
"SP_ROC","T11082000",28,53.5714285714286,85.7142857142857,0,1,0,1,0,0
"SP_ROC","T11084500",29,48.2758620689655,62.0689655172414,1,0,0,1,0,0
"SP_ROC","T11094000",21,42.8571428571429,71.4285714285714,1,0,0,1,0,0
"SP_ROC","T11095500",27,25.9259259259259,62.962962962963,1,0,0,1,0,0
"SP_ROC","T11098000",65,67.6923076923077,87.6923076923077,0,1,0,1,0,0
"SP_ROC","T11100000",20,35,70,1,0,0,1,0,0
"SP_ROC","T11110500",32,40.625,78.125,1,0,0,1,0,0
"SP_ROC","T11111500",60,63.3333333333333,83.3333333333333,1,0,0,1,0,0
"SP_ROC","T11113000",31,58.0645161290323,80.6451612903226,1,0,0,1,0,0
"SP_ROC","T11115500",31,45.1612903225806,67.741935483871,1,0,0,1,0,0
"SP_ROC","T11116000",31,67.741935483871,87.0967741935484,1,0,0,1,0,0
"SP_ROC","T11117600",30,33.3333333333333,73.3333333333333,0,1,0,1,0,0
"SP_ROC","T11117800",22,22.7272727272727,59.0909090909091,1,0,0,1,0,0
"SP_ROC","T11120500",64,64.0625,84.375,1,0,0,1,0,0
