"STAIDT","obs_median","preds_median","medOE","FFM"
"T10255800",188,163.5,1.14984709480122,"SP_Tim"
"T10255810",166.5,169.55,0.982011206133884,"SP_Tim"
"T10257500",150,169.966666666666,0.882525985487351,"SP_Tim"
"T10257600",166.5,163.25,1.01990811638591,"SP_Tim"
"T10258000",215,180.316666666666,1.19234679730105,"SP_Tim"
"T10258500",155,160,0.96875,"SP_Tim"
"T10259000",155.5,162,0.959876543209877,"SP_Tim"
"T10259200",159,163,0.975460122699387,"SP_Tim"
"T10263500",194,197.8,0.980788675429727,"SP_Tim"
"T10264000",175,175.8,0.995449374288965,"SP_Tim"
"T10264600",197,197.1625,0.999175806758385,"SP_Tim"
"T10281800",270,252,1.07142857142857,"SP_Tim"
"T10291500",262,254,1.03149606299213,"SP_Tim"
"T10295500",261,251,1.0398406374502,"SP_Tim"
"T10308200",246,248,0.991935483870968,"SP_Tim"
"T10310000",237,249.25,0.950852557673019,"SP_Tim"
"T10336580",246,247.9,0.992335619201291,"SP_Tim"
"T10336600",252,248,1.01612903225806,"SP_Tim"
"T10336645",233,232.5,1.00215053763441,"SP_Tim"
"T10336660",244,239.2,1.02006688963211,"SP_Tim"
"T10336676",240,239.8,1.00083402835696,"SP_Tim"
"T10336770",249.5,248,1.00604838709677,"SP_Tim"
"T10336780",252,244,1.0327868852459,"SP_Tim"
"T10343500",233,245.0625,0.950777862790105,"SP_Tim"
"T10360900",242,230.333333333333,1.0506512301013,"SP_Tim"
"T11033000",161,183.625,0.876786929884275,"SP_Tim"
"T11046300",172,179.0125,0.960826757907967,"SP_Tim"
"T11058600",211,179,1.17877094972067,"SP_Tim"
"T11063000",153.5,181.5,0.845730027548209,"SP_Tim"
"T11073470",160,185.5,0.862533692722372,"SP_Tim"
"T11080500",192,200,0.96,"SP_Tim"
"T11082000",159,183.6125,0.865954115324392,"SP_Tim"
"T11084500",174,189,0.920634920634921,"SP_Tim"
"T11094000",156,162.75,0.95852534562212,"SP_Tim"
"T11095500",155,169.25,0.915805022156573,"SP_Tim"
"T11098000",183,177.1,1.03331451157538,"SP_Tim"
"T11100000",192,186.5,1.02949061662198,"SP_Tim"
"T11110500",175,181,0.966850828729282,"SP_Tim"
"T11111500",153.5,175,0.877142857142857,"SP_Tim"
"T11113000",155,175.733333333333,0.882018209408196,"SP_Tim"
"T11115500",201,179,1.12290502793296,"SP_Tim"
"T11116000",190,183.6,1.03485838779956,"SP_Tim"
"T11117600",159,162.1,0.980876002467613,"SP_Tim"
"T11117800",159.5,164.55,0.969310240048617,"SP_Tim"
"T11120500",175,175.225,0.998715936652875,"SP_Tim"
"T11124500",184.5,175.833333333333,1.04928909952607,"SP_Tim"
"T11132500",187,182,1.02747252747253,"SP_Tim"
"T11138500",194,176.8,1.0972850678733,"SP_Tim"
"T11141150",206,177,1.1638418079096,"SP_Tim"
"T11141280",185.5,176.2,1.0527809307605,"SP_Tim"
"T11143000",182,181,1.00552486187845,"SP_Tim"
"T11143500",184,187,0.983957219251337,"SP_Tim"
"T11148900",176,175,1.00571428571429,"SP_Tim"
"T11151300",175,177,0.988700564971751,"SP_Tim"
"T11151870",182,182,1,"SP_Tim"
"T11153900",176,183,0.961748633879781,"SP_Tim"
"T11154100",189,180.6,1.04651162790698,"SP_Tim"
"T11154700",156,176.666666666667,0.883018867924527,"SP_Tim"
"T11160000",186.5,182.5,1.02191780821918,"SP_Tim"
"T11160020",181,180.2,1.00443951165372,"SP_Tim"
"T11160300",179,182,0.983516483516483,"SP_Tim"
"T11160500",182,180.8,1.00663716814159,"SP_Tim"
"T11162500",178.5,182,0.980769230769231,"SP_Tim"
"T11162570",178,180,0.988888888888889,"SP_Tim"
"T11169800",178,182,0.978021978021978,"SP_Tim"
"T11172100",195.5,182.979166666667,1.06842764431288,"SP_Tim"
"T11172945",182.5,183.333333333333,0.995454545454545,"SP_Tim"
"T11173200",180.5,180.4,1.00055432372506,"SP_Tim"
"T11176400",180,178.2,1.01010101010101,"SP_Tim"
"T11180500",177,178.333333333333,0.992523364485983,"SP_Tim"
"T11180960",177,179.8,0.984427141268076,"SP_Tim"
"T11182100",180,178.775,1.0068521885051,"SP_Tim"
"T11182500",183,178.05,1.02780117944398,"SP_Tim"
"T11195500",192,189.7125,1.01205771891678,"SP_Tim"
"T11196400",183,173.75,1.05323741007194,"SP_Tim"
"T11199500",224,187,1.19786096256684,"SP_Tim"
"T11209900",247,237.666666666667,1.03927068723703,"SP_Tim"
"T11213500",255,255,1,"SP_Tim"
"T11214000",253,269,0.940520446096654,"SP_Tim"
"T11218500",253,253,1,"SP_Tim"
"T11220000",185,205.325,0.901010592962377,"SP_Tim"
"T11220500",202,196.6125,1.02740161485155,"SP_Tim"
"T11224500",189.5,178.5,1.06162464985994,"SP_Tim"
"T11226500",254,253,1.00395256916996,"SP_Tim"
"T11230500",260,255,1.01960784313725,"SP_Tim"
"T11237500",236,240.916666666667,0.979591836734695,"SP_Tim"
"T11253310",221,182,1.21428571428571,"SP_Tim"
"T11257500",223,204.366666666667,1.09117599086609,"SP_Tim"
