"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"SP_Tim","T10255800",31,35.4838709677419,41.9354838709677,1,0,0,1,0,0
"SP_Tim","T10255810",48,58.3333333333333,81.25,1,0,0,1,0,0
"SP_Tim","T10257500",20,50,75,0,1,0,1,0,0
"SP_Tim","T10257600",36,30.5555555555556,55.5555555555556,1,0,0,1,0,0
"SP_Tim","T10258000",62,41.9354838709677,80.6451612903226,0,0,1,1,0,0
"SP_Tim","T10258500",33,45.4545454545455,63.6363636363636,1,0,0,1,0,0
"SP_Tim","T10259000",64,46.875,75,1,0,0,1,0,0
"SP_Tim","T10259200",37,48.6486486486487,67.5675675675676,1,0,0,1,0,0
"SP_Tim","T10263500",65,47.6923076923077,76.9230769230769,1,0,0,1,0,0
"SP_Tim","T10264000",31,45.1612903225806,80.6451612903226,1,0,0,1,0,0
"SP_Tim","T10264600",24,54.1666666666667,87.5,1,0,0,1,0,0
"SP_Tim","T10281800",28,7.14285714285714,53.5714285714286,0,0,1,0,0,1
"SP_Tim","T10291500",45,42.2222222222222,64.4444444444444,1,0,1,1,0,0
"SP_Tim","T10295500",49,42.8571428571429,65.3061224489796,0,0,1,1,0,0
"SP_Tim","T10308200",55,50.9090909090909,70.9090909090909,1,0,0,1,0,0
"SP_Tim","T10310000",65,26.1538461538462,46.1538461538462,0,1,0,1,0,0
"SP_Tim","T10336580",21,47.6190476190476,66.6666666666667,1,0,0,1,0,0
"SP_Tim","T10336600",26,34.6153846153846,69.2307692307692,1,0,0,1,0,0
"SP_Tim","T10336645",35,31.4285714285714,80,1,0,0,1,0,0
"SP_Tim","T10336660",55,34.5454545454545,61.8181818181818,1,0,0,1,0,0
"SP_Tim","T10336676",43,37.2093023255814,72.0930232558139,1,0,0,1,0,0
"SP_Tim","T10336770",20,25,80,1,0,0,1,0,0
"SP_Tim","T10336780",55,38.1818181818182,67.2727272727273,1,0,0,1,0,0
"SP_Tim","T10343500",62,38.7096774193548,58.0645161290323,0,1,0,1,0,0
"SP_Tim","T10360900",22,59.0909090909091,90.9090909090909,0,0,1,1,0,0
"SP_Tim","T11033000",28,46.4285714285714,71.4285714285714,1,0,0,1,0,0
"SP_Tim","T11046300",34,35.2941176470588,76.4705882352941,1,0,0,1,0,0
"SP_Tim","T11058600",43,30.2325581395349,53.4883720930233,0,0,1,1,0,0
"SP_Tim","T11063000",26,30.7692307692308,57.6923076923077,0,1,0,1,0,0
"SP_Tim","T11073470",25,36,64,1,0,0,1,0,0
"SP_Tim","T11080500",29,41.3793103448276,68.9655172413793,1,0,0,1,0,0
"SP_Tim","T11082000",28,17.8571428571429,35.7142857142857,1,0,0,1,0,0
"SP_Tim","T11084500",29,27.5862068965517,65.5172413793103,1,0,0,1,0,0
"SP_Tim","T11094000",21,38.0952380952381,61.9047619047619,1,0,0,1,0,0
"SP_Tim","T11095500",27,18.5185185185185,33.3333333333333,1,0,0,1,0,0
"SP_Tim","T11098000",65,40,66.1538461538461,1,0,0,1,0,0
"SP_Tim","T11100000",20,25,55,1,0,0,1,0,0
"SP_Tim","T11110500",32,37.5,81.25,1,0,0,1,0,0
"SP_Tim","T11111500",60,36.6666666666667,68.3333333333333,1,0,0,1,0,0
"SP_Tim","T11113000",31,22.5806451612903,51.6129032258064,1,0,0,1,0,0
"SP_Tim","T11115500",31,22.5806451612903,32.258064516129,1,0,0,1,0,0
"SP_Tim","T11116000",31,48.3870967741936,74.1935483870968,1,0,0,1,0,0
"SP_Tim","T11117600",30,13.3333333333333,50,1,0,0,1,0,0
"SP_Tim","T11117800",22,27.2727272727273,45.4545454545455,1,0,0,1,0,0
"SP_Tim","T11120500",64,39.0625,62.5,1,0,0,1,0,0
"SP_Tim","T11124500",64,35.9375,65.625,1,0,0,1,0,0
"SP_Tim","T11132500",37,45.945945945946,70.2702702702703,1,0,0,1,0,0
"SP_Tim","T11138500",56,23.2142857142857,58.9285714285714,1,0,0,1,0,0
"SP_Tim","T11141150",25,28,44,0,0,1,1,0,0
"SP_Tim","T11141280",48,39.5833333333333,68.75,1,0,0,1,0,0
"SP_Tim","T11143000",65,40,78.4615384615385,1,0,0,1,0,0
"SP_Tim","T11143500",33,27.2727272727273,51.5151515151515,1,0,0,1,0,0
"SP_Tim","T11148900",43,39.5348837209302,74.4186046511628,1,0,0,1,0,0
"SP_Tim","T11151300",55,40,80,1,0,0,1,0,0
"SP_Tim","T11151870",35,28.5714285714286,65.7142857142857,1,0,0,1,0,0
"SP_Tim","T11153900",21,23.8095238095238,42.8571428571429,1,0,0,1,0,0
"SP_Tim","T11154100",22,22.7272727272727,59.0909090909091,1,0,0,1,0,0
"SP_Tim","T11154700",21,42.8571428571429,76.1904761904762,0,1,0,1,0,0
"SP_Tim","T11160000",64,20.3125,53.125,1,0,0,1,0,0
"SP_Tim","T11160020",24,20.8333333333333,50,1,0,0,1,0,0
"SP_Tim","T11160300",35,11.4285714285714,28.5714285714286,1,0,0,1,0,0
"SP_Tim","T11160500",65,13.8461538461538,50.7692307692308,1,0,0,1,0,0
"SP_Tim","T11162500",64,28.125,54.6875,1,0,0,1,0,0
"SP_Tim","T11162570",37,43.2432432432432,62.1621621621622,1,0,0,1,0,0
"SP_Tim","T11169800",33,30.3030303030303,63.6363636363636,1,0,0,1,0,0
"SP_Tim","T11172100",26,19.2307692307692,57.6923076923077,1,0,0,1,0,0
"SP_Tim","T11172945",20,25,65,1,0,0,1,0,0
"SP_Tim","T11173200",34,29.4117647058824,61.7647058823529,1,0,0,1,0,0
"SP_Tim","T11176400",49,32.6530612244898,69.3877551020408,1,0,0,1,0,0
"SP_Tim","T11180500",39,30.7692307692308,74.3589743589744,1,0,0,1,0,0
"SP_Tim","T11180960",37,43.2432432432432,64.8648648648649,1,0,0,1,0,0
"SP_Tim","T11182100",27,33.3333333333333,66.6666666666667,1,0,0,1,0,0
"SP_Tim","T11182500",62,33.8709677419355,59.6774193548387,1,0,0,1,0,0
"SP_Tim","T11195500",22,22.7272727272727,40.9090909090909,1,0,0,1,0,0
