"STAIDT","obs_median","preds_median","medOE","FFM"
"T10255800",128,92,1.39130434782609,"Wet_BFL_Dur"
"T10255810",101,90.6833333333334,1.11376585186547,"Wet_BFL_Dur"
"T10257600",111,82,1.35365853658537,"Wet_BFL_Dur"
"T10258000",103.5,96.4375,1.07323395981854,"Wet_BFL_Dur"
"T10258500",56,79.3541666666667,0.705697033342085,"Wet_BFL_Dur"
"T10259000",99,90.6333333333333,1.09231335049651,"Wet_BFL_Dur"
"T10259200",70,100.945833333333,0.693441201964749,"Wet_BFL_Dur"
"T10263500",90.5,90.25,1.00277008310249,"Wet_BFL_Dur"
"T10264000",91,86,1.05813953488372,"Wet_BFL_Dur"
"T10281800",82,96.2916666666667,0.851579402855906,"Wet_BFL_Dur"
"T10291500",93,89.9,1.03448275862069,"Wet_BFL_Dur"
"T10295500",89.5,90.725,0.986497657756958,"Wet_BFL_Dur"
"T10308200",92,90.55,1.01601325234677,"Wet_BFL_Dur"
"T10310000",82,88.3666666666667,0.927951716333459,"Wet_BFL_Dur"
"T10336580",76,86.8,0.875576036866359,"Wet_BFL_Dur"
"T10336600",90,88.2,1.02040816326531,"Wet_BFL_Dur"
"T10336645",81,84.2,0.961995249406176,"Wet_BFL_Dur"
"T10336660",89,85.5,1.04093567251462,"Wet_BFL_Dur"
"T10336676",84,89,0.943820224719101,"Wet_BFL_Dur"
"T10336780",102,84.5833333333333,1.20591133004926,"Wet_BFL_Dur"
"T10343500",80,88.4666666666667,0.904295403165034,"Wet_BFL_Dur"
"T10360900",93,93.9,0.990415335463259,"Wet_BFL_Dur"
"T11033000",54,87.25,0.6189111747851,"Wet_BFL_Dur"
"T11046300",66,99.4958333333334,0.663344361154152,"Wet_BFL_Dur"
"T11058600",138,96,1.4375,"Wet_BFL_Dur"
"T11063000",67.5,99.1541666666665,0.680758078749423,"Wet_BFL_Dur"
"T11073470",88,100.675,0.87409982617333,"Wet_BFL_Dur"
"T11080500",101.5,95.7,1.06060606060606,"Wet_BFL_Dur"
"T11082000",77,84,0.916666666666667,"Wet_BFL_Dur"
"T11084500",87,95,0.91578947368421,"Wet_BFL_Dur"
"T11094000",72,78.75,0.914285714285714,"Wet_BFL_Dur"
"T11095500",52,67,0.776119402985075,"Wet_BFL_Dur"
"T11098000",85.5,89.3541666666667,0.956866402424808,"Wet_BFL_Dur"
"T11110500",86,89,0.966292134831461,"Wet_BFL_Dur"
"T11111500",55,87,0.632183908045977,"Wet_BFL_Dur"
"T11113000",62,88.75,0.698591549295775,"Wet_BFL_Dur"
"T11115500",91.5,85.5,1.07017543859649,"Wet_BFL_Dur"
"T11116000",94,86.125,1.09143686502177,"Wet_BFL_Dur"
"T11117600",74,76.375,0.968903436988543,"Wet_BFL_Dur"
"T11117800",65,63,1.03174603174603,"Wet_BFL_Dur"
"T11120500",86.5,83.05,1.04154124021674,"Wet_BFL_Dur"
