"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"Wet_BFL_Mag_10","T10255800",25,56,96,0,0,1,1,0,0
"Wet_BFL_Mag_10","T10255810",48,25,91.6666666666667,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10257600",29,51.7241379310345,55.1724137931034,0,1,0,1,0,0
"Wet_BFL_Mag_10","T10258000",60,23.3333333333333,40,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10258500",32,43.75,93.75,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10259000",55,10.9090909090909,41.8181818181818,0,0,1,0,0,1
"Wet_BFL_Mag_10","T10259200",34,35.2941176470588,97.0588235294118,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10263500",56,39.2857142857143,73.2142857142857,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10264000",31,61.2903225806452,80.6451612903226,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10281800",25,64,92,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10291500",44,47.7272727272727,86.3636363636364,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10295500",48,27.0833333333333,66.6666666666667,0,1,0,1,0,0
"Wet_BFL_Mag_10","T10308200",55,34.5454545454545,56.3636363636364,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10310000",65,52.3076923076923,81.5384615384615,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10336580",21,61.9047619047619,76.1904761904762,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10336600",26,34.6153846153846,57.6923076923077,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10336645",35,34.2857142857143,60,0,0,1,1,0,0
"Wet_BFL_Mag_10","T10336660",55,40,67.2727272727273,0,0,1,1,0,0
"Wet_BFL_Mag_10","T10336676",43,30.2325581395349,69.7674418604651,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10336780",48,41.6666666666667,70.8333333333333,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10343500",62,35.4838709677419,69.3548387096774,1,0,0,1,0,0
"Wet_BFL_Mag_10","T10360900",22,95.4545454545455,100,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11033000",28,32.1428571428571,57.1428571428571,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11046300",34,41.1764705882353,79.4117647058823,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11058600",39,43.5897435897436,74.3589743589744,0,0,1,1,0,0
"Wet_BFL_Mag_10","T11063000",26,61.5384615384615,100,0,1,0,1,0,0
"Wet_BFL_Mag_10","T11073470",23,60.8695652173913,95.6521739130435,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11080500",28,39.2857142857143,85.7142857142857,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11082000",21,28.5714285714286,80.9523809523809,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11084500",29,27.5862068965517,58.6206896551724,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11094000",21,33.3333333333333,57.1428571428571,0,1,0,1,0,0
"Wet_BFL_Mag_10","T11095500",21,23.8095238095238,80.9523809523809,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11098000",64,45.3125,78.125,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11110500",32,31.25,59.375,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11111500",59,42.3728813559322,81.3559322033898,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11113000",31,16.1290322580645,51.6129032258064,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11115500",28,60.7142857142857,85.7142857142857,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11116000",30,33.3333333333333,56.6666666666667,0,0,1,0,0,1
"Wet_BFL_Mag_10","T11117600",28,28.5714285714286,89.2857142857143,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11117800",21,28.5714285714286,47.6190476190476,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11120500",60,50,88.3333333333333,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11124500",62,33.8709677419355,61.2903225806452,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11132500",37,51.3513513513513,72.972972972973,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11138500",53,37.7358490566038,56.6037735849057,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11141150",22,86.3636363636364,100,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11141280",45,42.2222222222222,82.2222222222222,0,0,1,1,0,0
"Wet_BFL_Mag_10","T11143000",64,45.3125,65.625,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11143500",32,53.125,87.5,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11148900",43,23.2558139534884,39.5348837209302,0,0,1,1,0,0
"Wet_BFL_Mag_10","T11151300",54,59.2592592592593,83.3333333333333,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11151870",35,25.7142857142857,51.4285714285714,0,0,1,1,0,0
"Wet_BFL_Mag_10","T11153900",21,42.8571428571429,71.4285714285714,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11154100",21,42.8571428571429,76.1904761904762,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11154700",20,30,65,0,0,1,1,0,0
"Wet_BFL_Mag_10","T11160000",63,30.1587301587302,63.4920634920635,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11160020",23,17.3913043478261,43.4782608695652,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11160300",34,14.7058823529412,41.1764705882353,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11160500",65,35.3846153846154,69.2307692307692,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11162500",64,26.5625,54.6875,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11162570",37,29.7297297297297,70.2702702702703,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11169800",33,18.1818181818182,60.6060606060606,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11172100",25,48,84,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11172945",20,30,55,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11173200",34,26.4705882352941,44.1176470588235,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11176400",49,44.8979591836735,71.4285714285714,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11180500",38,28.9473684210526,44.7368421052632,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11180960",37,8.10810810810811,40.5405405405405,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11182100",27,29.6296296296296,62.962962962963,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11182500",60,26.6666666666667,50,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11196400",21,76.1904761904762,100,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11199500",37,48.6486486486487,72.972972972973,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11209900",31,45.1612903225806,70.9677419354839,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11213500",31,35.4838709677419,58.0645161290323,1,0,0,1,0,0
"Wet_BFL_Mag_10","T11214000",25,44,76,0,1,0,1,0,0
