"STAIDT","obs_median","preds_median","medOE","FFM"
"T10255800",39,62.4,0.625,"Wet_Tim"
"T10255810",59.5,76.3666666666666,0.779135748581406,"Wet_Tim"
"T10257600",79,85,0.929411764705882,"Wet_Tim"
"T10258000",104,91,1.14285714285714,"Wet_Tim"
"T10258500",83.5,69,1.21014492753623,"Wet_Tim"
"T10259000",52.5,69.4375,0.756075607560756,"Wet_Tim"
"T10259200",91,56,1.625,"Wet_Tim"
"T10263500",96,91.5,1.04918032786885,"Wet_Tim"
"T10264000",91,86,1.05813953488372,"Wet_Tim"
"T10281800",189,158.775,1.19036372224846,"Wet_Tim"
"T10291500",170,164.683333333334,1.03228418176298,"Wet_Tim"
"T10295500",176.5,160.4,1.10037406483791,"Wet_Tim"
"T10308200",151,153.775,0.981954153796131,"Wet_Tim"
"T10310000",152,155.25,0.979066022544283,"Wet_Tim"
"T10336580",170,158.666666666667,1.07142857142857,"Wet_Tim"
"T10336600",161.5,162.275,0.995224156524418,"Wet_Tim"
"T10336645",155,149,1.04026845637584,"Wet_Tim"
"T10336660",156,153.55,1.0159557147509,"Wet_Tim"
"T10336676",156,153,1.01960784313725,"Wet_Tim"
"T10336780",148,156,0.948717948717949,"Wet_Tim"
"T10343500",148.5,156.1125,0.951237088638001,"Wet_Tim"
"T10360900",151.5,140.233333333333,1.08034228666508,"Wet_Tim"
"T11033000",98.5,94,1.04787234042553,"Wet_Tim"
"T11046300",99.5,74.5,1.33557046979866,"Wet_Tim"
"T11058600",67,84,0.797619047619048,"Wet_Tim"
"T11063000",84,86,0.976744186046512,"Wet_Tim"
"T11073470",69,74.7083333333334,0.923591745677634,"Wet_Tim"
"T11080500",90.5,92.05,0.983161325366649,"Wet_Tim"
"T11082000",86,86,1,"Wet_Tim"
"T11084500",84,86,0.976744186046512,"Wet_Tim"
"T11094000",85,85,1,"Wet_Tim"
"T11095500",88,86.3666666666667,1.01891161713624,"Wet_Tim"
"T11098000",84.5,91.0333333333334,0.928231417063346,"Wet_Tim"
"T11110500",85,88.9791666666667,0.95527979395926,"Wet_Tim"
"T11111500",92,92.6,0.993520518358531,"Wet_Tim"
"T11113000",91,86,1.05813953488372,"Wet_Tim"
"T11115500",100,92.3333333333333,1.08303249097473,"Wet_Tim"
"T11116000",88,87.3,1.00801832760596,"Wet_Tim"
"T11117600",87.5,86.375,1.01302460202605,"Wet_Tim"
"T11117800",87,90.6,0.960264900662252,"Wet_Tim"
"T11120500",82.5,89.8333333333333,0.918367346938775,"Wet_Tim"
"T11124500",96.5,90.1333333333334,1.07063609467456,"Wet_Tim"
"T11132500",87.5,86.5541666666666,1.01092764646416,"Wet_Tim"
"T11138500",103,88.2666666666667,1.16691842900302,"Wet_Tim"
"T11141150",65,95.5,0.680628272251309,"Wet_Tim"
