"FFM","STAIDT","obs_n","percent_IQR","percent_I80R","pred_med_IQR","pred_med_IQR_up","pred_med_IQR_low","pred_med_I80R","pred_med_I80R_up","pred_med_I80R_low"
"Wet_Tim","T10255800",27,25.9259259259259,40.7407407407407,1,0,0,1,0,0
"Wet_Tim","T10255810",48,72.9166666666667,91.6666666666667,1,0,0,1,0,0
"Wet_Tim","T10257600",29,27.5862068965517,58.6206896551724,1,0,0,1,0,0
"Wet_Tim","T10258000",61,37.7049180327869,72.1311475409836,1,0,0,1,0,0
"Wet_Tim","T10258500",32,46.875,78.125,1,0,0,1,0,0
"Wet_Tim","T10259000",56,42.8571428571429,76.7857142857143,1,0,0,1,0,0
"Wet_Tim","T10259200",37,40.5405405405405,70.2702702702703,0,0,1,1,0,0
"Wet_Tim","T10263500",57,29.8245614035088,77.1929824561403,1,0,0,1,0,0
"Wet_Tim","T10264000",31,41.9354838709677,61.2903225806452,1,0,0,1,0,0
"Wet_Tim","T10281800",25,16,56,0,0,1,0,0,1
"Wet_Tim","T10291500",44,38.6363636363636,72.7272727272727,1,0,0,1,0,0
"Wet_Tim","T10295500",48,29.1666666666667,56.25,0,0,1,1,0,0
"Wet_Tim","T10308200",55,41.8181818181818,70.9090909090909,1,0,0,1,0,0
"Wet_Tim","T10310000",65,47.6923076923077,72.3076923076923,1,0,0,1,0,0
"Wet_Tim","T10336580",21,42.8571428571429,66.6666666666667,1,0,0,1,0,0
"Wet_Tim","T10336600",26,46.1538461538462,61.5384615384615,1,0,0,1,0,0
"Wet_Tim","T10336645",35,31.4285714285714,57.1428571428571,1,0,0,1,0,0
"Wet_Tim","T10336660",55,23.6363636363636,56.3636363636364,1,0,0,1,0,0
"Wet_Tim","T10336676",43,32.5581395348837,58.1395348837209,1,0,0,1,0,0
"Wet_Tim","T10336780",48,35.4166666666667,62.5,1,0,0,1,0,0
"Wet_Tim","T10343500",62,35.4838709677419,59.6774193548387,1,0,0,1,0,0
"Wet_Tim","T10360900",22,54.5454545454545,81.8181818181818,1,0,0,1,0,0
"Wet_Tim","T11033000",28,39.2857142857143,71.4285714285714,1,0,0,1,0,0
"Wet_Tim","T11046300",34,44.1176470588235,67.6470588235294,0,0,1,1,0,0
"Wet_Tim","T11058600",39,23.0769230769231,56.4102564102564,1,0,0,1,0,0
"Wet_Tim","T11063000",26,34.6153846153846,65.3846153846154,1,0,0,1,0,0
"Wet_Tim","T11073470",23,21.7391304347826,43.4782608695652,1,0,0,1,0,0
"Wet_Tim","T11080500",28,35.7142857142857,67.8571428571429,1,0,0,1,0,0
"Wet_Tim","T11082000",21,9.52380952380952,33.3333333333333,1,0,0,1,0,0
"Wet_Tim","T11084500",29,27.5862068965517,58.6206896551724,1,0,0,1,0,0
"Wet_Tim","T11094000",21,14.2857142857143,33.3333333333333,1,0,0,1,0,0
"Wet_Tim","T11095500",21,19.047619047619,28.5714285714286,1,0,0,1,0,0
"Wet_Tim","T11098000",64,21.875,59.375,1,0,0,1,0,0
"Wet_Tim","T11110500",32,40.625,75,1,0,0,1,0,0
"Wet_Tim","T11111500",59,23.728813559322,50.8474576271186,1,0,0,1,0,0
"Wet_Tim","T11113000",31,38.7096774193548,54.8387096774194,1,0,0,1,0,0
"Wet_Tim","T11115500",28,17.8571428571429,21.4285714285714,1,0,0,1,0,0
"Wet_Tim","T11116000",32,34.375,59.375,1,0,0,1,0,0
"Wet_Tim","T11117600",28,21.4285714285714,42.8571428571429,1,0,0,1,0,0
"Wet_Tim","T11117800",21,28.5714285714286,28.5714285714286,1,0,0,1,0,0
"Wet_Tim","T11120500",60,30,61.6666666666667,1,0,0,1,0,0
"Wet_Tim","T11124500",62,30.6451612903226,56.4516129032258,1,0,0,1,0,0
"Wet_Tim","T11132500",38,36.8421052631579,65.7894736842105,1,0,0,1,0,0
"Wet_Tim","T11138500",55,21.8181818181818,58.1818181818182,1,0,0,1,0,0
"Wet_Tim","T11141150",22,31.8181818181818,36.3636363636364,0,1,0,1,0,0
"Wet_Tim","T11141280",45,37.7777777777778,62.2222222222222,1,0,0,1,0,0
"Wet_Tim","T11143000",64,28.125,56.25,1,0,0,1,0,0
"Wet_Tim","T11143500",32,18.75,53.125,1,0,0,1,0,0
"Wet_Tim","T11148900",43,23.2558139534884,53.4883720930233,1,0,0,1,0,0
"Wet_Tim","T11151300",54,35.1851851851852,59.2592592592593,1,0,0,1,0,0
"Wet_Tim","T11151870",35,28.5714285714286,40,1,0,0,1,0,0
"Wet_Tim","T11153900",21,38.0952380952381,52.3809523809524,1,0,0,1,0,0
"Wet_Tim","T11154100",22,45.4545454545455,72.7272727272727,1,0,0,1,0,0
"Wet_Tim","T11154700",20,45,70,1,0,0,1,0,0
"Wet_Tim","T11160000",63,14.2857142857143,42.8571428571429,1,0,0,1,0,0
"Wet_Tim","T11160020",23,13.0434782608696,39.1304347826087,1,0,0,1,0,0
"Wet_Tim","T11160300",34,8.82352941176471,26.4705882352941,1,0,0,1,0,0
"Wet_Tim","T11160500",65,23.0769230769231,46.1538461538462,1,0,0,1,0,0
"Wet_Tim","T11162500",64,26.5625,46.875,1,0,0,1,0,0
"Wet_Tim","T11162570",37,27.027027027027,54.0540540540541,1,0,0,1,0,0
"Wet_Tim","T11169800",33,21.2121212121212,51.5151515151515,1,0,0,1,0,0
"Wet_Tim","T11172100",25,28,60,1,0,0,1,0,0
"Wet_Tim","T11172945",20,15,40,1,0,0,1,0,0
"Wet_Tim","T11173200",34,14.7058823529412,47.0588235294118,1,0,0,1,0,0
"Wet_Tim","T11176400",51,33.3333333333333,54.9019607843137,1,0,0,1,0,0
"Wet_Tim","T11180500",38,28.9473684210526,57.8947368421053,1,0,0,1,0,0
"Wet_Tim","T11180960",37,16.2162162162162,51.3513513513513,1,0,0,1,0,0
"Wet_Tim","T11182100",27,25.9259259259259,55.5555555555556,1,0,0,1,0,0
"Wet_Tim","T11182500",60,23.3333333333333,50,1,0,0,1,0,0
"Wet_Tim","T11196400",21,23.8095238095238,66.6666666666667,1,0,0,1,0,0
"Wet_Tim","T11199500",37,67.5675675675676,89.1891891891892,1,0,0,1,0,0
"Wet_Tim","T11209900",31,51.6129032258064,87.0967741935484,1,0,0,1,0,0
"Wet_Tim","T11213500",31,58.0645161290323,80.6451612903226,1,0,0,1,0,0
"Wet_Tim","T11214000",25,32,64,1,0,0,1,0,0
"Wet_Tim","T11218500",30,46.6666666666667,66.6666666666667,1,0,0,1,0,0
"Wet_Tim","T11220000",20,15,55,1,0,0,1,0,0
"Wet_Tim","T11220500",20,20,45,1,0,0,1,0,0
"Wet_Tim","T11224500",50,16,38,1,0,0,1,0,0
"Wet_Tim","T11226500",40,35,65,1,0,0,1,0,0
"Wet_Tim","T11230500",65,50.7692307692308,80,1,0,0,1,0,0
"Wet_Tim","T11237500",64,56.25,71.875,1,0,0,1,0,0
"Wet_Tim","T11253310",36,44.4444444444444,63.8888888888889,1,0,0,1,0,0
