FID,CLASS,COMID,REACHCODE,GNIS_ID,GNIS_NAME
0,7,8200535,18060005003297, , 
1,7,8200545,18060005003297, , 
2,7,8200931,18060005003644, , 
3,7,8201087,18060005003639, , 
4,7,8201891,18060005003297, , 
5,7,8202565,18060005003745, , 
6,7,8202567,18060005003746, , 
7,7,8202989,18060005000125, , 
8,7,8203029,18060005000124, , 
9,7,8203051,18060005000123, , 
10,7,8203065,18060005000121, , 
11,7,8205223,18060005000986, , 
12,7,8205531,18060005021905, , 
13,7,8205535,18060005021900, , 
14,7,17154226,18030012006406,00245908,Mill Creek
15,7,17168920,18030012007402, , 
16,7,17169240,18030012008376,01655023,Temblor Creek
17,7,17169678,18030012007420, , 
18,7,17169682,18030012007418, , 
19,7,17170524,18030012007188, , 
20,7,17172564,18030012007286, , 
21,7,17172622,18030012007414, , 
22,7,17599211,18060012000186, , 
23,7,17604083,18060011000156, , 
24,7,17604093,18060011000283, , 
25,7,17604099,18060011000160, , 
26,7,17604109,18060011000159, , 
27,7,17604117,18060011000159, , 
28,7,17604127,18060011000119, , 
29,7,17604153,18060011000287, , 
30,7,17604157,18060011000286, , 
31,7,17604237,18060011000298, , 
32,7,17604249,18060011000297, , 
33,7,17604257,18060011000296, , 
34,7,17604265,18060011000092, , 
35,7,17604283,18060011000094, , 
36,7,17604285,18060011000095, , 
37,7,17604311,18060011000293, , 
38,7,17604317,18060011000291, , 
39,7,17604323,18060011000097, , 
40,7,17604335,18060011000099, , 
41,7,17604339,18060011000388, , 
42,7,17605395,18060011000155, , 
43,7,17605415,18060011000156, , 
44,7,17605421,18060011000436, , 
45,7,17605431,18060011000159, , 
46,7,17605435,18060011000119, , 
47,7,17605503,18060011000160, , 
48,7,17605515,18060011000384, , 
49,7,17606199,18060011000119, , 
50,7,17624361,18060008000321, , 
51,7,17635878,18060007001094,00250415,"Wash, The"
52,7,17636180,18060007001004,00273543,Santa Barbara Canyon
53,7,17636200,18060007000104,00273543,Santa Barbara Canyon
54,7,17636250,18060007001075,00273543,Santa Barbara Canyon
55,7,17663125,18060002001797, , 
56,7,17663287,18060002001715,00235609,Struve Slough
57,7,17663341,18060002001805,00224934,Harkins Slough
58,7,17663479,18060002001811, , 
59,7,17663483,18060002001813, , 
60,7,17663497,18060002001814,00237354,Watsonville Slough
61,7,17665741,18060002001813, , 
62,7,17665751,18060002001814,00237354,Watsonville Slough
