agency_cd,site_no,year,month,day,discharge_cfs,discharge_flags
USGS,11468000,1950,10,01,260,A
USGS,11468000,1950,10,02,260,A
USGS,11468000,1950,10,03,260,A
USGS,11468000,1950,10,04,260,A
USGS,11468000,1950,10,05,260,A
USGS,11468000,1950,10,06,260,A
USGS,11468000,1950,10,07,260,A
USGS,11468000,1950,10,08,260,A
USGS,11468000,1950,10,09,260,A
USGS,11468000,1950,10,10,260,A
USGS,11468000,1950,10,11,260,A
USGS,11468000,1950,10,12,260,A
USGS,11468000,1950,10,13,260,A
USGS,11468000,1950,10,14,260,A
USGS,11468000,1950,10,15,260,A
USGS,11468000,1950,10,16,260,A
USGS,11468000,1950,10,17,260,A
USGS,11468000,1950,10,18,260,A
USGS,11468000,1950,10,19,260,A
USGS,11468000,1950,10,20,260,A
USGS,11468000,1950,10,21,260,A
USGS,11468000,1950,10,22,260,A
USGS,11468000,1950,10,23,260,A
USGS,11468000,1950,10,24,260,A
USGS,11468000,1950,10,25,260,A
USGS,11468000,1950,10,26,260,A
USGS,11468000,1950,10,27,260,A
USGS,11468000,1950,10,28,260,A
USGS,11468000,1950,10,29,260,A
USGS,11468000,1950,10,30,260,A
USGS,11468000,1950,10,31,260,A
USGS,11468000,1950,11,01,296,A
USGS,11468000,1950,11,02,296,A
USGS,11468000,1950,11,03,296,A
USGS,11468000,1950,11,04,296,A
USGS,11468000,1950,11,05,296,A
USGS,11468000,1950,11,06,296,A
USGS,11468000,1950,11,07,296,A
USGS,11468000,1950,11,08,296,A
USGS,11468000,1950,11,09,296,A
USGS,11468000,1950,11,10,296,A
USGS,11468000,1950,11,11,296,A
USGS,11468000,1950,11,12,57.0,A
USGS,11468000,1950,11,13,55.0,A
USGS,11468000,1950,11,14,54.0,A
USGS,11468000,1950,11,15,56.0,A
USGS,11468000,1950,11,16,2180,A
USGS,11468000,1950,11,17,1190,A
USGS,11468000,1950,11,18,1410,A
USGS,11468000,1950,11,19,1370,A
USGS,11468000,1950,11,20,1010,A
USGS,11468000,1950,11,21,1220,A
USGS,11468000,1950,11,22,887,A
USGS,11468000,1950,11,23,645,A
