HUC_12,initial_available,allocation,assemblage,unmet_needs,unmet_count,richness,unmet_proportion
180101020503,20846.752453641653,18470.523931653006,"Northern green sturgeon, Sacramento pikeminnow, Northern tidewater goby, Pacific lamprey, River lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, California Coast fall Chinook salmon","Northern green sturgeon (22%), Sacramento pikeminnow (22%), Northern tidewater goby (32%), Pacific lamprey (43%), River lamprey (54%), Western brook lamprey (54%)",6,9,0.6666666666666666
180101060402,37213.000168477636,36372.19703458438,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (11%), Inland threespine stickleback (16%), Pacific lamprey (22%), Western brook lamprey (27%), Southern Oregon Northern California coast coho salmon (55%), Northern California coast winter steelhead (55%), Northern California coast summer steelhead (55%), California Coast fall Chinook salmon (55%)",8,8,1.0
180101040303,13110.044949206953,10771.459882852729,"Sacramento pikeminnow, Pacific lamprey, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (37%), Pacific lamprey (74%)",2,5,0.4
180101040105,208229.31848316494,199953.91738518674,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (2%), Pacific lamprey (4%), Southern Oregon Northern California coast coho salmon (10%), Northern California coast winter steelhead (10%), Northern California coast summer steelhead (10%), California Coast fall Chinook salmon (10%)",6,6,1.0
180101060301,74754.39058061231,69361.26892144933,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (6%), Inland threespine stickleback (9%), Pacific lamprey (12%), Western brook lamprey (14%), Southern Oregon Northern California coast coho salmon (29%), Northern California coast winter steelhead (29%), Northern California coast summer steelhead (29%), California Coast fall Chinook salmon (29%)",8,8,1.0
180101040502,51820.0012967167,122469.59708261656,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (3%), Pacific lamprey (7%), Southern Oregon Northern California coast coho salmon (16%), Northern California coast winter steelhead (16%), Northern California coast summer steelhead (16%), California Coast fall Chinook salmon (16%)",6,6,1.0
180101060303,10063.227756275763,8687.056478822115,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (46%), Inland threespine stickleback (69%), Pacific lamprey (92%)",3,8,0.375
180101050109,182641.60026376383,210960.21281743285,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (2%), Pacific lamprey (4%), Southern Oregon Northern California coast coho salmon (9%), Northern California coast winter steelhead (9%), Northern California coast summer steelhead (9%), California Coast fall Chinook salmon (9%)",6,6,1.0
180101060201,108643.73645080795,89192.2160202321,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (4%), Inland threespine stickleback (7%), Pacific lamprey (9%), Southern Oregon Northern California coast coho salmon (22%), Northern California coast winter steelhead (22%), Northern California coast summer steelhead (22%), California Coast fall Chinook salmon (22%)",7,7,1.0
180101020501,7243.498100487904,7238.772476735051,"Sacramento pikeminnow, Northern tidewater goby, Pacific lamprey, River lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (55%), Northern tidewater goby (83%)",2,8,0.25
180101060302,39830.65155739546,37954.9545886886,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (11%), Inland threespine stickleback (16%), Pacific lamprey (21%), Western brook lamprey (26%), Southern Oregon Northern California coast coho salmon (53%), Northern California coast winter steelhead (53%), Northern California coast summer steelhead (53%), California Coast fall Chinook salmon (53%)",8,8,1.0
180101050206,84695.20225663642,82673.19086750023,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, River lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (5%), Inland threespine stickleback (7%), Pacific lamprey (10%), River lamprey (12%), Western brook lamprey (12%), Southern Oregon Northern California coast coho salmon (24%), Northern California coast winter steelhead (24%), Northern California coast summer steelhead (24%), California Coast fall Chinook salmon (24%)",9,9,1.0
180101050205,37313.71211832512,32995.79813535045,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (12%), Pacific lamprey (24%), Southern Oregon Northern California coast coho salmon (61%), Northern California coast winter steelhead (61%), Northern California coast summer steelhead (61%), California Coast fall Chinook salmon (61%)",6,6,1.0
180101060304,21401.312268466623,20155.10074834643,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (20%), Inland threespine stickleback (30%), Pacific lamprey (40%), Western brook lamprey (50%), Southern Oregon Northern California coast coho salmon (99%), Northern California coast winter steelhead (99%), Northern California coast summer steelhead (99%), California Coast fall Chinook salmon (99%)",8,8,1.0
180101050101,15076.55264789337,14166.565661205981,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead","Sacramento pikeminnow (28%), Pacific lamprey (56%)",2,5,0.4
180101060403,98310.97978094235,98635.92674974527,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (4%), Inland threespine stickleback (6%), Pacific lamprey (8%), Western brook lamprey (10%), Southern Oregon Northern California coast coho salmon (20%), Northern California coast winter steelhead (20%), Northern California coast summer steelhead (20%), California Coast fall Chinook salmon (20%)",8,8,1.0
180101050405,26278.830571300743,23958.355091768826,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, River lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (17%), Inland threespine stickleback (25%), Pacific lamprey (33%), River lamprey (42%), Western brook lamprey (42%), Southern Oregon Northern California coast coho salmon (83%), Northern California coast winter steelhead (83%), Northern California coast summer steelhead (83%), California Coast fall Chinook salmon (83%)",9,9,1.0
180101020105,13574.17435277509,12032.280568466816,"Sacramento pikeminnow, Pacific lamprey, River lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, California Coast fall Chinook salmon","Sacramento pikeminnow (33%), Pacific lamprey (66%), River lamprey (83%), Western brook lamprey (83%)",4,6,0.6666666666666666
180101060105,117683.2303255481,114944.10455559433,"Sacramento pikeminnow, Inland threespine stickleback, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (3%), Inland threespine stickleback (5%), Pacific lamprey (7%), Southern Oregon Northern California coast coho salmon (17%), Northern California coast winter steelhead (17%), Northern California coast summer steelhead (17%), California Coast fall Chinook salmon (17%)",7,7,1.0
180101040208,26623.183771073815,25745.080573237366,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (16%), Pacific lamprey (31%), Southern Oregon Northern California coast coho salmon (78%), Northern California coast winter steelhead (78%), Northern California coast summer steelhead (78%), California Coast fall Chinook salmon (78%)",6,6,1.0
180101050204,65418.13288001531,58382.8477319963,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead","Sacramento pikeminnow (7%), Pacific lamprey (14%), Southern Oregon Northern California coast coho salmon (34%), Northern California coast winter steelhead (34%), Northern California coast summer steelhead (34%)",5,5,1.0
180101040302,34300.07504159491,29096.598392963588,"Sacramento pikeminnow, Pacific lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (14%), Pacific lamprey (27%), Southern Oregon Northern California coast coho salmon (69%), Northern California coast winter steelhead (69%), Northern California coast summer steelhead (69%), California Coast fall Chinook salmon (69%)",6,6,1.0
180101020403,131497.56120394153,124790.58032473912,"Sacramento pikeminnow, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (3%), Pacific lamprey (6%), Western brook lamprey (8%), Southern Oregon Northern California coast coho salmon (16%), Northern California coast winter steelhead (16%), Northern California coast summer steelhead (16%), California Coast fall Chinook salmon (16%)",7,7,1.0
180101020402,89404.96253439366,85809.9374415408,"Sacramento pikeminnow, Pacific lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, Northern California coast summer steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (5%), Pacific lamprey (9%), Western brook lamprey (12%), Southern Oregon Northern California coast coho salmon (23%), Northern California coast winter steelhead (23%), Northern California coast summer steelhead (23%), California Coast fall Chinook salmon (23%)",7,7,1.0
180101020603,301176.54457442655,287653.61382793885,"Sacramento pikeminnow, Northern tidewater goby, Inland threespine stickleback, Pacific lamprey, River lamprey, Western brook lamprey, Southern Oregon Northern California coast coho salmon, Northern California coast winter steelhead, California Coast fall Chinook salmon","Sacramento pikeminnow (1%), Northern tidewater goby (2%), Inland threespine stickleback (2%), Pacific lamprey (3%), River lamprey (3%), Western brook lamprey (3%), Southern Oregon Northern California coast coho salmon (7%), Northern California coast winter steelhead (7%), California Coast fall Chinook salmon (7%)",9,9,1.0
