OBJECTID,Common_Name,Scientific_Name,FID,Presence_Type,Data_Source_Name,Data_Source_Path,Notes,Observation_Date,Collections,HUC_12
1,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,"Moyle, Quinones and Bell",direct addition,Moyle et al 2012,5/29/2013 10:50:08,"QC 2013, Best available knowledge 8/2013",180101020408
2,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101020503
3,Northern green sturgeon,Acipenser medirostris,AAM01,Observed,California Natural Diversity Database,C:\Users\nicksantos\Documents\PISCES\data\observations.gdb\CNDDB_2011,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013, HUC 12 Update - Oct 2013",180101020605
4,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013, HUC 12 Update - Oct 2013",180101020605
5,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101050502
6,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101050602
7,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101050803
8,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101050906
9,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051001
10,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051002
11,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051003
12,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051101
13,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051102
14,Northern green sturgeon,Acipenser medirostris,AAM01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\gstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101060407
15,White sturgeon,Acipenser transmontanus,AAT01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\wstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101020407
16,White sturgeon,Acipenser transmontanus,AAT01,Observed,"Moyle, Quinones and Bell",direct addition,RQ obs,6/21/2013 9:12:54,"QC 2013, Best available knowledge 8/2013",180101020408
17,White sturgeon,Acipenser transmontanus,AAT01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\wstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101020408
18,White sturgeon,Acipenser transmontanus,AAT01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\wstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101050906
19,White sturgeon,Acipenser transmontanus,AAT01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\wstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051001
20,White sturgeon,Acipenser transmontanus,AAT01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\wstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051002
21,White sturgeon,Acipenser transmontanus,AAT01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\wstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051003
22,White sturgeon,Acipenser transmontanus,AAT01,Extant Range - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\wstpoly,,,"Fish Species of Special Concern - Final, Delivered USFS 12/15/2011, QC 2013, Best available knowledge 8/2013",180101051102
23,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020101
24,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020102
25,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020103
26,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020104
27,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020105
28,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020106
29,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020201
30,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020202
31,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020203
32,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020301
33,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020302
34,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020401
35,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020402
36,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020403
37,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020404
38,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020405
39,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020406
40,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020407
41,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020408
42,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020501
43,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020502
44,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020503
45,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020503
46,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020503
47,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020601
48,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020602
49,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020603
50,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101020604
51,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,"Moyle, Katz and Santos",direct addition,Adding in the rest of the eel as translocations,5/8/2012 16:49:43,"Fish Species of Special Concern - Final, Best available knowledge 8/2013, HUC 12 Update - Oct 2013",180101020605
52,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\sqpoly,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030101
53,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\sqpoly,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030101
54,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\sqpoly,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
55,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Expert Opinion,Moyle and Randall,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\sqpoly,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
56,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
57,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
58,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
59,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
60,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
61,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
62,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
63,Sacramento pikeminnow,Ptychocheilus grandis,CPG01,Translocated - Observed,Mendocino National Forest,C:\Users\nrsantos\Documents\SAM\data\observations.gdb\Mendocino,,,"Delivered USFS 12/15/2011, Fish Species of Special Concern - Final, Best available knowledge 8/2013",180101030102
